query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time
用户:下周天15点想去看展会记录一下; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,展会,去看展会,,,是,`2025-07-06 15:00:00,`2025-07-06 16:00:00,`2025-07-06 14:00:00,否,,,
用户:今天下午1点要去看医生; 你:今天下午1点到2点已经安排购物了。看医生要换个时间吗？; 用户:不用换了。; 你:好嘞，提前1小时叫你，行不？; 用户:好的,`2025-06-25 01:33:19,日程,就医,去看医生,,,是,`2025-06-25 13:00:00,,`2025-06-25 12:00:00,否,,,
用户:明天10点有个健身课，帮我记一下; 你:明天10点到11点已经有读书会了。健身课要换个时间吗？; 用户:改到明天18点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,学习,健身课,,,是,`2025-06-26 18:00:00,`2025-06-26 20:00:00,`2025-06-26 17:00:00,否,,,
用户:后天下午5点有个会议，帮我记一下; 你:后天5点到6点已经安排了健身课。会议要改个时间吗？; 用户:不改了，就按原计划; 你:好的，会议大概持续多久啊？; 用户:大概2小时吧; 你:提前1小时提醒你，可以吗？; 用户:没问题,`2025-06-25 01:33:19,日程,会议,会议,,,是,`2025-06-27 17:00:00,`2025-06-27 19:00:00,`2025-06-27 16:00:00,否,,,
用户:周一18点要去看牙医; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,就医,去看牙医,,,是,`2025-06-30 18:00:00,`2025-06-30 20:00:00,`2025-06-30 17:00:00,否,,,
用户:周二下午2点有个客户会议; 你:好的，什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-25 01:33:19,日程,会议,客户会议,,客户,是,`2025-07-01 14:00:00,,`2025-07-01 11:00:00,否,,,
用户:周三11点有个展会，记录一下; 你:周三11点到12点已经有工作会议了。展会要换个时间吗？; 用户:改到周三11点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,展会,展会,,,是,`2025-06-25 11:00:00,`2025-06-25 13:00:00,`2025-06-25 10:45:00,否,,,
用户:周四18点有个健身课，帮我记一下; 你:周四18点到19点已经有项目会议了。健身课要换个时间吗？; 用户:改到周四8点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,学习,健身课,,,是,`2025-06-26 08:00:00,`2025-06-26 09:00:00,`2025-06-26 07:45:00,否,,,
用户:周五11点要去看牙医; 你:周五11点到12点已经安排了健身课。看牙医要改个时间吗？; 用户:改到周五13点。; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-25 01:33:19,日程,就医,去看牙医,,,是,`2025-06-27 13:00:00,,`2025-06-27 10:00:00,否,,,
用户:周六18点有个工作会议，记录一下; 你:周六上午18点到19点已经有健身计划了。工作会议要换个时间吗？; 用户:改到周六11点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,会议,工作会议,,,是,`2025-06-28 11:00:00,`2025-06-28 12:00:00,`2025-06-28 10:00:00,否,,,
用户: 周日16点有个读书会，帮我记一下; 你: 周日16点到17点已经有健身课了。读书会要换个时间吗？; 用户: 改到周日16点。; 你: 好的，会持续多久啊？; 用户: 大概2小时吧。; 你: 提前半小时叫你，成不？; 用户: ok,`2025-06-25 01:33:19,日程,读书,有个读书会,,,是,`2025-06-29 16:00:00,`2025-06-29 18:00:00,`2025-06-29 15:30:00,否,,,
用户:周日10点有个读书会，记录一下; 你:周日10点到11点已经有健身课了。读书会要换个时间吗？; 用户:改到周天12点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前半小时叫你，成不？; 用户:好,`2025-06-25 01:33:19,日程,读书,读书会,,,是,`2025-06-29 12:00:00,`2025-06-29 14:00:00,`2025-06-29 11:30:00,否,,,
用户:下周一14点有个工作面试; 你:好的，会持续多久啊?; 用户:大概1小时吧; 你:什么时间提醒你?; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,工作,工作面试,,,是,`2025-06-30 14:00:00,`2025-06-30 15:00:00,`2025-06-30 13:00:00,否,,,
用户:下周二9点有个部门会议要开; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,会议,部门会议,,,是,`2025-07-01 09:00:00,`2025-07-01 10:00:00,`2025-07-01 08:00:00,否,,,
用户:下周三9点要去看牙医; 你:下周三9点到10点已经有健身课安排了。看牙医要换个时间吗？; 用户:改到下周三下午2点吧; 你:提前2小时叫你，可以吗？; 用户:好的,`2025-06-25 01:33:19,日程,就医,看牙医,,,是,`2025-07-02 14:00:00,,`2025-07-02 12:00:00,否,,,
用户:下周四17点有个读书会，帮我记一下; 你:下周四17点到18点已经有健身课了。读书会要换个时间吗？; 用户:改到下周四19点吧。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,读书,读书会,,,是,`2025-07-03 19:00:00,`2025-07-03 21:00:00,`2025-07-03 16:00:00,否,,,
用户:下周五3点要去看牙医，帮我记一下; 你:下周五3点到4点已经有健身课安排。看牙医要换个时间吗？; 用户:改到下周五15点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前1小时叫你，成不？; 用户:成,`2025-06-25 01:33:19,日程,就医,去看牙医,,,是,`2025-07-04 15:00:00,`2025-07-04 17:00:00,`2025-07-04 14:00:00,否,,,
用户:周六10点有个健身安排，帮我记一下; 你:周六10点到12点已经有就医预约了。健身要换个时间吗？; 用户:改到下周六10点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前2小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,运动,健身,,,是,`2025-07-05 10:00:00,`2025-07-05 12:00:00,`2025-07-05 08:00:00,否,,,
用户:下周日晚上8点有个工作会议，记录一下; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,会议,工作会议,,,是,`2025-07-06 20:00:00,`2025-07-06 22:00:00,`2025-07-06 19:00:00,否,,,
用户:下周日13点有个客户会议，记一下; 你:下周日13点到14点已经安排了健身课程。客户会议要换个时间吗？; 用户:不用换，就这个时间; 你:好的，提前1小时提醒你成不？; 用户:可以,`2025-06-25 01:33:19,日程,会议,客户会议,,客户,是,`2025-07-06 13:00:00,,`2025-07-06 12:00:00,否,,,
用户:今天10点有个会议，帮我记下来; 你:10点到11点已经有培训安排了。会议要换个时间吗？; 用户:改到下午2点吧; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前2小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,会议,会议,,,是,`2025-06-26 14:00:00,`2025-06-26 15:00:00,`2025-06-26 12:00:00,否,,,
用户:明天8点要去看牙医; 你:明天8点到9点已经约了健身教练。看牙医要换个时间吗？; 用户:就明天晚上8点吧; 你:好的，大概要多久呢？; 用户:差不多1小时吧; 你:提前15分钟提醒你，可以吗？; 用户:好的,`2025-06-26 01:21:47,日程,就医,去看牙医,,,是,`2025-06-27 20:00:00,`2025-06-27 21:00:00,`2025-06-27 19:45:00,否,,,
用户:明天早上8点有个体检要记一下; 你:明天早上8点已经有健身计划了。体检要换个时间吗？; 用户:改成后天8点吧; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,健康,体检,,,是,`2025-06-28 08:00:00,,`2025-06-28 07:45:00,否,,,
用户:周一9点有个客户会议，帮忙记一下; 你:周一9点到10点已经有团队晨会安排了。客户会议要换个时间吗？; 用户:改到周二上午10点半吧。; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-26 01:21:47,日程,会议,客户会议,,客户,是,`2025-07-01 10:30:00,,`2025-07-01 07:30:00,否,,,
用户:下周二下午4点有个展会，帮我记一下; 你:下周二下午4点到5点已经约了健身。展会要换个时间吗？; 用户:改到周二16点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前3小时叫你，成不？; 用户:ok,2025/6/23 01:21,日程,展会,展会,,,是,`2025-07-01 16:00:00,`2025-07-01 17:00:00,`2025-07-01 13:00:00,否,,,
用户:下周三下午两点要去看牙医; 你:下周三下午两点到三点已经有健身课了。看牙医要换个时间吗？; 用户:改到周三14点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,就医,去看牙医,,,是,`2025-07-02 14:00:00,`2025-07-02 15:00:00,`2025-07-02 13:45:00,否,,,
用户:下周四11点有个读书会，记录一下; 你:下周四11点到12点已经有健身课了。读书会要换个时间吗？; 用户:改到周四11点。; 你:好的，提前3小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,读书,读书会,,,是,`2025-06-26 11:00:00,,`2025-06-26 08:00:00,否,,,
用户:下周五晚上6点有个工作会议，记录一下; 你:下周五晚上6点到7点已经有健身计划了。工作会议要换个时间吗？; 用户:改到周五18点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,会议,工作会议,,,是,`2025-06-27 18:00:00,`2025-06-27 20:00:00,`2025-06-27 17:30:00,否,,,
用户:周六下午4点有个加班会议; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-26 01:21:47,日程,会议,加班会议,,,是,`2025-06-28 16:00:00,`2025-06-28 18:00:00,`2025-06-28 15:00:00,否,,,
用户:下周日上午10点有个工作会议，记一下; 你:下周日10点到11点已经有健身安排。工作会议要换个时间吗？; 用户:改到周日10点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,会议,工作会议,,,是,`2025-06-29 10:00:00,`2025-06-29 11:00:00,`2025-06-29 09:30:00,否,,,
用户:下周天18点有个项目会议，帮我记下; 你:下周日18点到19点已经有健身课程了。项目会议要换个时间吗？; 用户:改到周天18点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,会议,项目会议,,,是,`2025-06-29 18:00:00,`2025-06-29 19:00:00,`2025-06-29 17:45:00,否,,,
用户:下周一晚上7点有个工作会议; 你:好的，什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,会议,工作会议,,,是,`2025-06-30 19:00:00,,`2025-06-30 18:45:00,否,,,
用户:周二晚上7点有个展会，记录一下; 你:周二19点到20点已经有客户会议了。展会要换个时间吗？; 用户:改到下周二19点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,展会,展会,,,是,`2025-07-01 19:00:00,`2025-07-01 21:00:00,`2025-07-01 18:00:00,否,,,
用户:周三9点有个展会，帮我记一下; 你:周三9点到11点已经有工作会议了。展会要换个时间吗？; 用户:改到下周三下午2点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-26 01:21:47,日程,展会,展会,,,是,`2025-07-02 14:00:00,`2025-07-02 16:00:00,`2025-07-02 11:00:00,否,,,
用户:周四13点有个展会，帮我记一下; 你:周四13点已经有就医安排了。展会要换个时间吗？; 用户:改成下周四13点; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,展会,展会,,,是,`2025-07-03 13:00:00,,`2025-07-03 12:45:00,否,,,
用户:下周五18点有个展会要去; 你:下周五18点到19点已经安排了健身。展会要换个时间吗？; 用户:不改了。; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,展会,展会,,,是,`2025-07-04 18:00:00,,`2025-07-04 17:45:00,否,,,
用户:周六上午10点有个医疗检查，帮我记一下; 你:周六上午10点到11点已经约了健身教练。医疗检查要换个时间吗？; 用户:改到下周六10点。; 你:什么时间提醒你？; 用户:提前2小时提醒我,`2025-06-26 01:21:47,日程,就医,医疗检查,,,是,`2025-07-05 10:00:00,,`2025-07-05 08:00:00,否,,,
用户:下周日1点想去看画展，记一下; 你:下周日1点到2点已经有健身计划了。看画展要换个时间吗？; 用户:改到下周日13点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-26 01:21:47,日程,展会,去看画展,,,是,`2025-07-06 13:00:00,`2025-07-06 15:00:00,`2025-07-06 12:00:00,否,,,
用户:下周日晚上6点有个学习会，帮我记一下; 你:下周日晚上6点到7点已经安排了看牙医。学习会需要改时间吗？; 用户:不改了; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-26 01:21:47,日程,学习,学习会,,,是,`2025-07-06 18:00:00,,`2025-07-06 15:00:00,否,,,
用户:今天上午10点要去看牙医; 你:好的，会看多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-27 04:00:31,日程,就医,去看牙医,,,是,`2025-06-27 10:00:00,`2025-06-27 11:00:00,`2025-06-27 09:00:00,否,,,
用户:后天5点有个工作会议，记一下; 你:后天5点到6点已经安排健身了。工作会议要换个时间吗？; 用户:改成明天17点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,会议,工作会议,,,是,`2025-06-28 17:00:00,`2025-06-28 18:00:00,`2025-06-28 16:30:00,否,,,
用户:后天早上8点有个项目会议； 你:好的，需要提前3小时提醒你吗？； 用户:对；,`2025-06-27 04:00:31,日程,会议,项目会议,,,是,`2025-06-29 08:00:00,,`2025-06-29 05:00:00,否,,,
用户:下周一下午3点有个展会，记录一下; 你:下周一下午3点到5点已经约好去健身了。展会要换个时间吗？; 用户:改到周一15点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,展会,展会,,,是,`2025-06-30 15:00:00,`2025-06-30 17:00:00,`2025-06-30 14:30:00,否,,,
用户:下周二9点有个应酬，帮我记一下; 你:下周二9点到11点已经有健身安排了。应酬要换个时间吗？; 用户:改到周二9点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,应酬,应酬,,,是,`2025-07-01 09:00:00,`2025-07-01 11:00:00,`2025-07-01 08:45:00,否,,,
用户:周三晚上7点有个客户会议，帮我记一下; 你:周三晚上7点到8点已经有健身课程了。客户会议要换个时间吗？; 用户:改到周三19点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,会议,客户会议,,客户,是,`2025-07-02 19:00:00,`2025-07-02 21:00:00,`2025-07-02 16:00:00,否,,,
用户:周四13点有个会议要参加; 你:好的，什么时间提醒你？; 用户:提前2小时提醒我,`2025-06-27 04:00:31,日程,会议,有个会议要参加,,,是,`2025-07-03 13:00:00,,`2025-07-03 11:00:00,否,,,
用户:下周五晚上7点有个应酬，帮我记一下; 你:下周五晚上7点到8点已经安排健身了。应酬要换个时间吗？; 用户:改到周五19点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,应酬,应酬,,,是,`2025-06-27 19:00:00,`2025-06-27 20:00:00,`2025-06-27 18:00:00,否,,,
用户:下周六下午4点想去健身，帮我记一下; 你:下周六下午4点到6点已经安排购物了。健身要换个时间吗？; 用户:改到周六16点吧; 你:好的，大概要练多久啊？; 用户:大概2小时吧; 你:提前15分钟提醒你，可以吗？; 用户:ok,`2025-06-27 04:00:31,日程,运动,健身,,,是,`2025-06-28 16:00:00,`2025-06-28 18:00:00,`2025-06-28 15:45:00,否,,,
用户:下周日13点有个医生预约，记录一下; 你:下周日13点到14点已经有健身课程了。医生预约要换个时间吗？; 用户:改到周日13点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,就医,医生预约,,,是,`2025-06-29 13:00:00,`2025-06-29 14:00:00,`2025-06-29 12:30:00,否,,,
用户:下周天晚上8点有个读书会，帮我记一下; 你:下周天晚上8点到9点已经有健身课了。读书会要换个时间吗？; 用户:改到周天20点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,读书,读书会,,,是,`2025-06-29 20:00:00,`2025-06-29 22:00:00,`2025-06-29 19:00:00,否,,,
用户:下周一7点有个展会，帮我记一下; 你:下周一7点已经有应酬了。展会要换个时间吗？; 用户:改成下周一晚上7点; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-27 04:00:31,日程,展会,展会,,,是,`2025-06-30 19:00:00,,`2025-06-30 16:00:00,否,,,
用户:下周二1点我要去看牙医; 你:下周二1点到2点已经有健身计划了。看牙医要换个时间吗？; 用户:改到下周二13点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,就医,去看牙医,,,是,`2025-07-01 13:00:00,`2025-07-01 14:00:00,`2025-07-01 12:45:00,否,,,
用户:下周三8点有个健身课要上; 你:下周三8点到9点已经安排了看牙医。健身课要换个时间吗？; 用户:改到下周三20点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,学习,健身课,,,是,`2025-07-02 20:00:00,`2025-07-02 22:00:00,`2025-07-02 17:00:00,否,,,
用户:下周四11点有个读书会; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-27 04:00:31,日程,读书,读书会,,,是,`2025-07-03 11:00:00,`2025-07-03 13:00:00,`2025-07-03 10:00:00,否,,,
用户:下周五6点有个客户应酬; 你:下周五6点到7点已经安排了瑜伽课。客户应酬要换个时间吗？; 用户:改到下周五18点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,应酬,客户应酬,,客户,是,`2025-07-04 18:00:00,`2025-07-04 20:00:00,`2025-07-04 17:45:00,否,,,
用户:下周六早上8点要去看牙医; 你:好的，什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-27 04:00:31,日程,就医,去看牙医,,,是,`2025-07-05 08:00:00,,`2025-07-05 07:45:00,否,,,
用户:下周日早上8点要去看牙医; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-27 04:00:31,日程,就医,去看牙医,,,是,`2025-07-06 08:00:00,,`2025-07-06 07:00:00,否,,,
用户:下周日2点有个家庭聚会; 你:下周日2点到3点已经安排了健身课程。家庭聚会要换个时间吗？; 用户:改到下周日14点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,家庭,家庭聚会,,,是,`2025-07-06 14:00:00,`2025-07-06 16:00:00,`2025-07-06 13:45:00,否,,,
用户:今天8点要去看牙医； 你:今天8点到10点已经有健身计划了。看牙医要换个时间吗？； 用户:改到今天下午1点； 你:好的，会持续多久啊？； 用户:大概2小时吧； 你:提前3小时叫你，成不？； 用户:ok,`2025-06-28 01:02:51,日程,就医,看牙医,,,是,`2025-06-28 13:00:00,`2025-06-28 15:00:00,`2025-06-28 10:00:00,否,,,
用户:明天中午12点有个健身课程，帮我记一下; 你:明天12点到13点已经有牙医预约了。健身课要换个时间吗？; 用户:改到明天12点; 你:好的，会上多久啊？; 用户:大概1小时吧; 你:提前15分钟叫你，行不？; 用户:ok,`2025-06-28 01:02:51,日程,学习,健身课程,,,是,`2025-06-29 12:00:00,`2025-06-29 13:00:00,`2025-06-29 11:45:00,否,,,
用户:后天下午3点有个应酬; 你:后天下午3点到4点已经安排了读一本书。应酬要换个时间吗？; 用户:改到后天15点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-28 01:02:51,日程,应酬,应酬,,,是,`2025-06-30 15:00:00,`2025-06-30 16:00:00,`2025-06-30 14:30:00,否,,,
用户:周一11点要去看医生; 你:周一11点到12点已经约了健身课。看医生要换个时间吗？; 用户:改成周一11点吧; 你:好的，会看多久啊？; 用户:大概1小时吧; 你:提前15分钟叫你，行不行？; 用户:可以,`2025-06-28 01:02:51,日程,就医,去看医生,,,是,`2025-06-30 11:00:00,`2025-06-30 12:00:00,`2025-06-30 10:45:00,否,,,
用户:下周二11点有个会议要参加; 你:下周二11点到12点已经安排了看牙医。会议要换个时间吗？; 用户:不用换。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前15分钟叫你，行不？; 用户:可以,`2025-06-28 01:02:51,日程,会议,有个会议要参加,,,是,`2025-07-01 11:00:00,`2025-07-01 12:00:00,`2025-07-01 10:45:00,否,,,
