query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_accurate,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time
记录路由器初始密码在说明书第15页,`2025-06-27 18:00:00,备忘,信息,路由器初始密码在说明书第15页,,,否,,,,,否,,,
写个备忘，年终汇报要突出成本优化成果,`2025-06-26 07:00:00,备忘,工作,年终汇报要突出成本优化成果,,,否,,,,,否,,,
这个公式7+x-y很重要，帮我存到备忘录里,`2025-07-02 08:00:00,备忘,知识,公式7+x-y很重要,,,否,,,,,否,,,
客户说预算要追加20%，记到会议纪要,`2025-06-30 08:00:00,备忘,会议,会议纪要：客户说预算要追加20%,,,否,,,,,否,,,
今天体检报告数值58.2，是正常范围，存个档,`2025-06-25 15:00:00,备忘,健康,今天体检报告数值58.2，是正常范围,,,否,,,,,否,,,
帮我把这个方子记下来，当归5克+红枣1颗,`2025-06-25 15:00:00,备忘,笔记,方子：当归5克+红枣1颗,,,否,,,,,否,,,
会议主题是市场分析，保存备忘,`2025-07-08 09:00:00,备忘,会议,会议主题是市场分析,,,否,,,,,否,,,
超市买牛奶和鸡蛋，别忘了存备忘,`2025-06-25 09:00:00,备忘,购物,超市买牛奶和鸡蛋,,,否,,,,,否,,,
新同事老李的联系方式1245443777，存到通讯录备忘,`2025-07-05 08:00:00,备忘,通讯录,新同事老李的联系方式1245443777,,,否,,,,,否,,,
这篇论文的参考文献1706.pdf需要保存,`2025-06-26 20:00:00,备忘,知识,这篇论文的参考文献1706.pdf,,,否,,,,,否,,,
哎呀，这个灵感得赶紧记下来：大模型辅助选择数据,`2025-06-30 10:00:00,备忘,灵感,这个灵感得赶紧记下来：大模型辅助选择数据,,,否,,,,,否,,,
旅行清单要带充电宝，存备忘录,`2025-07-02 11:00:00,备忘,出行,旅行清单要带充电宝,,,否,,,,,否,,,
老李的电话改成了138开头，记着,`2025-06-30 10:30:00,备忘,通讯录,老李的电话改成了138开头,,,否,,,,,否,,,
这个冷笑话太经典，必须存档：海边太冷，冷到我了,`2025-06-30 08:00:00,备忘,笔记,这个冷笑话太经典：海边太冷，冷到我了,,,否,,,,,否,,,
客户偏好绿茶，记录一下,`2025-06-25 09:00:00,备忘,工作,客户偏好绿茶,,,否,,,,,否,,,
快递单号YT456789，存底备用,`2025-06-25 16:00:00,备忘,信息,快递单号YT456789,,,否,,,,,否,,,
外婆的生日是腊月二十三，记好,`2025-06-30 10:00:00,备忘,家庭,外婆的生日是腊月二十三,,外婆,否,,,,,否,,,
这个故障代码代表主板问题，存档,`2025-06-25 14:00:00,备忘,信息,这个故障代码代表主板问题,,,否,,,,,否,,,
会议密码改成6688，存记事本,`2025-06-25 17:00:00,备忘,笔记,会议密码改成6688,,,否,,,,,否,,,
发现个超好用的快捷键，快记,`2025-07-02 15:00:00,备忘,笔记,发现个超好用的快捷键,,,否,,,,,否,,,
路由器密码改成wifi6688，存,`2025-06-25 15:00:00,备忘,信息,路由器密码改成wifi6688,,,否,,,,,否,,,
这个定义很好：用户画像=属性+行为，帮我保存下来,`2025-06-27 19:00:00,备忘,信息,这个定义很好：用户画像=属性+行为,,,否,,,,,否,,,
帮我记录，数据中台是整合企业数据的核心平台,`2025-06-27 16:00:00,备忘,笔记,数据中台是整合企业数据的核心平台,,,否,,,,,否,,,
创建备忘：今日完成了客户需求分析报告,`2025-06-28 14:00:00,备忘,工作,今日完成了客户需求分析报告,,,否,,,,,否,,,
记下这句名言：学而不思则罔，思而不学则殆,`2025-06-25 15:00:00,备忘,笔记,名言：学而不思则罔，思而不学则殆,,,否,,,,,否,,,
保存本周工作总结的要点：团队协作效率提升20%,`2025-07-02 14:00:00,备忘,工作,本周工作总结的要点：团队协作效率提升20%,,,否,,,,,否,,,
记录新概念：元宇宙是虚实融合的3D空间,`2025-06-26 11:00:00,备忘,笔记,新概念：元宇宙是虚实融合的3D空间,,,否,,,,,否,,,
记下客户说的关键需求：支持多语言实时翻译,`2025-06-30 10:00:00,备忘,工作,客户说的关键需求：支持多语言实时翻译,,,否,,,,,否,,,
保存快递单号：SF123456789，收件人王先生,`2025-06-27 14:00:00,备忘,信息,快递单号：SF123456789，收件人王先生,,,否,,,,,否,,,
记录灵感：用区块链做电子病历存证系统,`2025-07-03 08:00:00,备忘,灵感,灵感：用区块链做电子病历存证系统,,,否,,,,,否,,,
这个数学公式E=mc很重要，帮我存成文本,`2025-07-02 08:00:00,备忘,知识,数学公式E=mc很重要,,,否,,,,,否,,,
写个备忘：张总办公室电话变更为010-87654321,`2025-06-26 12:00:00,备忘,信息,张总办公室电话变更为010-87654321,,,否,,,,,否,,,
帮我记下这个梗：遇事不决量子力学,`2025-06-27 16:00:00,备忘,笔记,这个梗：遇事不决量子力学,,,否,,,,,否,,,
记录重要日期：岳父生日是农历五月初八,`2025-07-03 15:00:00,备忘,家庭,岳父生日是农历五月初八,,岳父,否,,,,,否,,,
这个代码规范要保存：函数命名用驼峰式,`2025-07-02 09:00:00,备忘,笔记,代码规范：函数命名用驼峰式,,,否,,,,,否,,,
记下药品用法：阿司匹林每日三次每次两片,`2025-07-02 10:00:00,备忘,笔记,阿司匹林每日三次每次两片,,,否,,,,,否,,,
保存设备参数：服务器IP地址192.168.1.100,`2025-07-04 08:00:00,备忘,信息,服务器IP地址192.168.100,,,否,,,,,否,,,
帮我记录：公司门禁密码每周三更新,`2025-06-26 07:30:00,备忘,信息,公司门禁密码每周三更新,,,否,,,,,否,,,
写个文本备忘：打印机维修电话400-123456,`2025-06-28 08:00:00,备忘,信息,打印机维修电话400-123456,,,否,,,,,否,,,
记下这个知识点：TCP三次握手过程,`2025-06-26 13:00:00,备忘,知识,知识点：TCP三次握手过程,,,否,,,,,否,,,
保存旅行清单：充电器、护照、防晒霜,`2025-06-29 10:00:00,备忘,信息,旅行清单：充电器、护照、防晒霜,,,否,,,,,否,,,
客户需求分析模型=痛点+解决方案，这个公式要保存,`2025-07-06 08:00:00,备忘,知识,客户需求分析模型=痛点+解决方案,,,否,,,,,否,,,
记下明天晨会要讨论的五个产品迭代点,`2025-06-30 08:00:00,备忘,会议,明天晨会要讨论的五个产品迭代点,,,否,,,,,否,,,
同学说下周考试重点在第三章，帮我存下来,`2025-06-27 19:00:00,备忘,笔记,同学说下周考试重点在第三章,,,否,,,,,否,,,
闺女生日是五月十二号，得记下来别忘咯,`2025-06-26 10:00:00,备忘,家庭,闺女生日是五月十二号,,,否,,,,,否,,,
保存这条：客户反馈系统需要优化用户体验,`2025-06-27 15:00:00,备忘,工作,客户反馈系统需要优化用户体验,,,否,,,,,否,,,
这个AI术语解释得很清楚，存为文本备忘,`2025-06-30 08:00:00,备忘,知识,这个AI术语解释得很清楚,,,否,,,,,否,,,
帮我记下数据飞轮是数据驱动增长的正反馈循环,`2025-06-26 06:00:00,备忘,知识,数据飞轮是数据驱动增长的正反馈循环,,,否,,,,,否,,,
写个备忘：新员工培训材料要补充安全规范,`2025-06-26 10:00:00,备忘,工作,新员工培训材料要补充安全规范,,,否,,,,,否,,,
老张电话尾号是6683，赶紧存文字版,`2025-06-27 08:00:00,备忘,通讯录,老张电话尾号是6683,,,否,,,,,否,,,
记录物联网三层架构：感知层网络层应用层,`2025-06-25 14:00:00,备忘,知识,物联网三层架构：感知层网络层应用层,,,否,,,,,否,,,
保存这个菜谱：糖醋排骨要放三勺醋两勺糖,`2025-06-28 10:00:00,备忘,美食,糖醋排骨要放三勺醋两勺糖,,,否,,,,,否,,,
记下王教授说的论文修改意见第三点,`2025-06-26 07:00:00,备忘,笔记,王教授说的论文修改意见第三点,,,否,,,,,否,,,
客户公司门牌号是创业大厦B座1702,`2025-06-30 08:00:00,备忘,通讯录,客户公司门牌号是创业大厦B座1702,,,否,,,,,否,,,
写文本备忘：服务器密码更新为Tt2024#,`2025-06-29 09:00:00,备忘,信息,服务器密码更新为Tt2024#,,,否,,,,,否,,,
帮我存下这句：用户增长=流量×转化×留存,`2025-06-26 21:00:00,备忘,笔记,用户增长=流量×转化×留存,,,否,,,,,否,,,
记录快递单号SF1380576342到付信息,`2025-06-26 16:00:00,备忘,信息,快递单号SF1380576342到付信息,,,否,,,,,否,,,
记着老中医说的当归黄芪配比是3:2,`2025-06-27 08:00:00,备忘,笔记,老中医说的当归黄芪配比是3:2,,,否,,,,,否,,,
保存会议结论：优先开发安卓端应用,`2025-06-26 11:00:00,备忘,会议,会议结论：优先开发安卓端应用,,,否,,,,,否,,,
写个备忘记录新租房的电表初始读数：25.6,`2025-07-04 20:00:00,备忘,信息,新租房的电表初始读数：25.6,,,否,,,,,否,,,
存下这个地址：朝阳区光华路8号院3号楼,`2025-06-26 13:00:00,备忘,地址,地址：朝阳区光华路8号院3号楼,,,否,,,,,否,,,
记下路由器初始密码Admin123,`2025-07-01 09:00:00,备忘,信息,路由器初始密码Admin123,,,否,,,,,否,,,
保存这个知识点：马斯洛需求层次理论,`2025-07-04 18:00:00,备忘,知识,知识点：马斯洛需求层次理论,,,否,,,,,否,,,
记录我的停车位在B2区,`2025-06-29 08:00:00,备忘,停车位,停车位在B2区,B2区,,否,,,,,否,,,
备忘里存一下车位号E7。,`2025-06-28 13:00:00,备忘,停车位,车位号E7,E7,,否,,,,,否,,,
需要记住我的车位在3楼东侧。,`2025-06-30 08:00:00,备忘,停车位,我的车位在3楼东侧,3楼东侧,,否,,,,,否,,,
帮我记下来，停车位是G区08号。,`2025-06-27 15:30:00,备忘,停车位,停车位是G区08号,G区08号,,否,,,,,否,,,
这个车位在D区12号，存到备忘录。,`2025-06-27 18:00:00,备忘,停车位,这个车位在D区12号,,,否,,,,,否,,,
请将车位H9添加到我的备忘列表。,`2025-06-27 12:00:00,备忘,停车位,车位H9,车位H9,,否,,,,,否,,,
地下车库C区26号，帮忙记下来。,`2025-07-04 08:00:00,备忘,停车位,地下车库C区26号,地下车库C区26号,,否,,,,,否,,,
存下车位信息：商场北门P2层。,`2025-07-02 08:00:00,备忘,停车位,车位信息：商场北门P2层,商场北门P2层,,否,,,,,否,,,
记好我的专属车位是VIP-003。,`2025-07-02 08:00:00,备忘,停车位,我的专属车位是VIP-003,,,否,,,,,否,,,
帮我记住车位在地下B1,`2025-06-28 18:00:00,备忘,停车位,车位在地下B1,地下B1,,否,,,,,否,,,
把临时车位X23存进记事本。,`2025-06-28 14:30:00,备忘,停车位,临时车位X23,,,否,,,,,否,,,
记录停车位置，在3号电梯旁。,`2025-06-28 10:00:00,备忘,停车位,停车位置，在3号电梯旁,3号电梯旁,,否,,,,,否,,,
公司车库A座负二层07号车位。,`2025-07-04 08:00:00,备忘,停车位,公司车库A座负二层07号车位,公司车库A座负二层07号车位,,否,,,,,否,,,
请备注我的车停在绿植区旁边。,`2025-07-02 08:00:00,备忘,停车位,我的车停在绿植区旁边,,,否,,,,,否,,,
存个档，客户反馈说夜间模式需要优化亮度,`2025-06-24 00:04:07,备忘,工作,客户反馈说夜间模式需要优化亮度,,,否,,,,,否,,,
记下这句诗：海上生明月，天涯共此时,`2025-06-24 00:09:34,备忘,笔记,诗：海上生明月，天涯共此时,,,否,,,,,否,,,
保存会议结论：团队建设活动预算增加20%,`2025-06-24 01:02:34,备忘,会议,会议结论：团队建设活动预算增加20%,,,否,,,,,否,,,
帮我存下保险单编号是BX20240115012,`2025-06-24 01:03:14,备忘,信息,保险单编号是BX20240115012,,,否,,,,,否,,,
写个备忘，下个月要更换办公室饮水机滤芯,`2025-06-24 01:05:54,备忘,工作,下个月要更换办公室饮水机滤芯,,,否,,,,,否,,,
存下这个公式：F=ma的实验数据在D3文件夹,`2025-06-24 01:07:04,备忘,笔记,公式：F=ma的实验数据在D3文件夹,,,否,,,,,否,,,
记下来，新合作项目每单提成提高2%,`2025-06-24 01:20:32,备忘,工作,新合作项目每单提成提高2%,,,否,,,,,否,,,
保存护照申请编号：PASSPORT-US-98765432,`2025-06-24 01:24:38,备忘,信息,护照申请编号：PASSPORT-US-98765432,,,否,,,,,否,,,
存个文本：马斯克火星移民计划第一阶段是2029年,`2025-06-24 01:33:21,备忘,笔记,马斯克火星移民计划第一阶段是2029年,,,否,,,,,否,,,
记录一下，客户意见：希望增加深色主题选项,`2025-06-24 02:30:35,备忘,工作,客户意见：希望增加深色主题选项,,,否,,,,,否,,,
记下这句诗：会当凌绝顶，一览众山小,`2025-06-24 02:34:22,备忘,笔记,诗：会当凌绝顶，一览众山小,,,否,,,,,否,,,
保存董事会决议：开拓东南亚市场,`2025-06-24 02:51:29,备忘,工作,董事会决议：开拓东南亚市场,,,否,,,,,否,,,
帮我存下体检预约码是TY20240218005,`2025-06-24 02:51:36,备忘,健康,体检预约码是TY20240218005,,,否,,,,,否,,,
写个备忘，季度末要更新所有软件许可证,`2025-06-24 02:58:17,备忘,工作,季度末要更新所有软件许可证,,,否,,,,,否,,,
存下这个密码：WiFi密码换成Office@2024,`2025-06-24 03:05:18,备忘,信息,WiFi密码换成Office@2024,,,否,,,,,否,,,
记下来，员工餐厅价格每份上涨1元,`2025-06-24 03:06:38,备忘,信息,员工餐厅价格每份上涨1元,,,否,,,,,否,,,
保存签证预约号：VISA-CA-12345678,`2025-06-24 04:33:39,备忘,信息,签证预约号：VISA-CA-12345678,,,否,,,,,否,,,
存个文本：达尔文进化论的核心是自然选择,`2025-06-24 05:23:42,备忘,知识,达尔文进化论的核心是自然选择,,,否,,,,,否,,,
存个档，用户建议增加多语言支持,`2025-06-24 05:33:21,备忘,工作,用户建议增加多语言支持,,,否,,,,,否,,,
记下这句词：人生若只如初见，何事秋风悲画扇,`2025-06-24 06:33:43,备忘,笔记,诗：人生若只如初见，何事秋风悲画扇,,,否,,,,,否,,,
保存项目决定：推迟产品发布会两周,`2025-06-24 06:49:12,备忘,工作,项目决定：推迟产品发布会两周,,,否,,,,,否,,,
写个备忘，月底前要提交报销单据,`2025-06-24 07:25:20,备忘,工作,月底前要提交报销单据,,,否,,,,,否,,,
存下这个地址：客户总部搬迁到浦东新区,`2025-06-24 07:42:47,备忘,信息,客户总部搬迁到浦东新区,,,否,,,,,否,,,
记下来，年会场地定金缴纳50%,`2025-06-24 08:15:48,待办,信息,年会场地定金缴纳50%,,,否,,,,,否,,,
保存医疗卡号：MEDICARE-AU-87654321,`2025-06-24 08:22:06,备忘,信息,医疗卡号：MEDICARE-AU-87654321,,,否,,,,,否,,,
存个文本：薛定谔的猫诠释量子叠加态,`2025-06-24 08:33:55,备忘,笔记,薛定谔的猫诠释量子叠加态,,,否,,,,,否,,,
存个档，测试团队反馈需要更多测试设备,`2025-06-24 08:47:24,备忘,工作,测试团队反馈需要更多测试设备,,,否,,,,,否,,,
记下这句诗：不识庐山真面目，只缘身在此山中,`2025-06-24 09:31:04,备忘,笔记,诗：不识庐山真面目，只缘身在此山中,,,否,,,,,否,,,
保存HR通知：年假制度调整为15天起,`2025-06-24 10:07:03,备忘,工作,HR通知：年假制度调整为15天起,,,否,,,,,否,,,
帮我存下发票编号是FP20240301033,`2025-06-24 10:23:45,备忘,信息,发票编号是FP20240301033,,,否,,,,,否,,,
存下这个信息：新服务器IP是192.168.10.5,`2025-06-24 10:43:44,备忘,信息,新服务器IP是192.168.10.5,,,否,,,,,否,,,
记下来，交通补贴每月增加100元,`2025-06-24 10:57:58,备忘,信息,交通补贴每月增加100元,,,否,,,,,否,,,
保存签证批文号：VISA-JP-55555555,`2025-06-24 11:02:15,备忘,信息,签证批文号：VISA-JP-55555555,,,否,,,,,否,,,
存个文本：牛顿第一定律又称惯性定律,`2025-06-24 11:05:57,备忘,笔记,牛顿第一定律又称惯性定律,,,否,,,,,否,,,
存个档，用户希望增加手势操作功能,`2025-06-24 11:11:39,备忘,工作,用户希望增加手势操作功能,,,否,,,,,否,,,
记下这句诗：春风得意马蹄疾，一日看尽长安花,`2025-06-24 11:44:06,备忘,笔记,诗：春风得意马蹄疾，一日看尽长安花,,,否,,,,,否,,,
保存管理层意见：增加远程办公天数,`2025-06-24 11:56:03,备忘,工作,管理层意见：增加远程办公天数,,,否,,,,,否,,,
帮我存下订单号是DD20240401128,`2025-06-24 12:09:08,备忘,信息,订单号是DD20240401128,,,否,,,,,否,,,
写个备忘，季度会议要准备PPT,`2025-06-24 13:22:22,备忘,工作,季度会议要准备PPT,,,否,,,,,否,,,
存下这个链接：产品文档在sharepoint/2024,`2025-06-24 13:54:44,备忘,笔记,链接：产品文档在sharepoint/2024,,,否,,,,,否,,,
记下来，新员工培训改为线上形式,`2025-06-24 13:55:36,备忘,工作,新员工培训改为线上形式,,,否,,,,,否,,,
保存会员卡号：VIP-CN-123456789,`2025-06-24 14:17:31,备忘,信息,会员卡号：VIP-CN-123456789,,,否,,,,,否,,,
存个文本：弗洛伊德提出本我自超我理论,`2025-06-24 14:56:38,备忘,笔记,弗洛伊德提出本我自超我理论,,,否,,,,,否,,,
存个档，客服记录需要更详细分类,`2025-06-24 15:06:44,备忘,工作,客服记录需要更详细分类,,,否,,,,,否,,,
记下这句词：众里寻他千百度，蓦然回首那人却在灯火阑珊处,`2025-06-24 15:20:36,备忘,笔记,诗：众里寻他千百度，蓦然回首那人却在灯火阑珊处,,,否,,,,,否,,,
保存审计意见：改进财务审批流程,`2025-06-24 15:31:01,备忘,工作,审计意见：改进财务审批流程,,,否,,,,,否,,,
帮我存下合同编号是HT20240519999,`2025-06-24 15:44:37,备忘,信息,合同编号是HT20240519999,,,否,,,,,否,,,
写个备忘，月末要更新防病毒软件,`2025-06-24 15:48:40,备忘,工作,月末要更新防病毒软件,,,否,,,,,否,,,
存下这个数据：季度销售额同比增长15%,`2025-06-24 16:09:12,备忘,工作,数据：季度销售额同比增长15%,,,否,,,,,否,,,
保存居留证号：RESIDENCE-EU-987654,`2025-06-24 18:38:34,备忘,信息,居留证号：RESIDENCE-EU-987654,,,否,,,,,否,,,
存个文本：相对论分为狭义和广义两部分,`2025-06-24 19:14:55,备忘,笔记,相对论分为狭义和广义两部分,,,否,,,,,否,,,
存个档，用户反馈加载速度有待提升,`2025-06-24 19:18:02,备忘,工作,用户反馈加载速度有待提升,,,否,,,,,否,,,
记下这句诗：问渠那得清如许，为有源头活水来,`2025-06-24 19:33:05,备忘,笔记,诗：问渠那得清如许，为有源头活水来,,,否,,,,,否,,,
保存CEO指示：优化供应链管理,`2025-06-24 19:50:10,备忘,工作,CEO指示：优化供应链管理,,,否,,,,,否,,,
帮我存下维修单号是WX20240608001,`2025-06-24 20:37:55,备忘,信息,维修单号是WX20240608001,,,否,,,,,否,,,
写个备忘，下季度要升级办公电脑,`2025-06-24 21:08:35,备忘,工作,下季度要升级办公电脑,,,否,,,,,否,,,
存下这个号码：IT支持电话分机号是888,`2025-06-24 21:11:15,备忘,通讯录,号码：IT支持电话分机号是888,,,否,,,,,否,,,
记下来，健身补贴可用于游泳课程,`2025-06-24 21:30:58,备忘,健康,健身补贴可用于游泳课程,,,否,,,,,否,,,
保存驾驶证号：DRIVER-UK-654321,`2025-06-24 21:31:09,备忘,信息,驾驶证号：DRIVER-UK-654321,,,否,,,,,否,,,
存个文本：黑洞理论由霍金深入研究,`2025-06-24 21:31:26,备忘,笔记,黑洞理论由霍金深入研究,,,否,,,,,否,,,
存个档，测试版用户想要暗黑主题,`2025-06-24 21:33:40,备忘,信息,测试版用户想要暗黑主题,,,否,,,,,否,,,
记下这句诗：长风破浪会有时，直挂云帆济沧海,`2025-06-24 21:51:26,备忘,笔记,诗：长风破浪会有时，直挂云帆济沧海,,,否,,,,,否,,,
保存股东决议：设立创新研发基金,`2025-06-24 22:10:09,备忘,工作,保存股东决议：设立创新研发基金,,,否,,,,,否,,,
帮我存下预约码是YY20240712123,`2025-06-24 22:17:03,备忘,信息,预约码是YY20240712123,,,否,,,,,否,,,
写个备忘，年度报告要在8月完成,`2025-06-24 22:23:03,备忘,工作,年度报告要在8月完成,,,否,,,,,否,,,
存下这个信息：公司新邮箱后缀改成@new.com,`2025-06-24 22:29:00,备忘,工作,公司新邮箱后缀改成@new.com,,,否,,,,,否,,,
记下来，国庆假期调休方案已公布，放8天假,`2025-06-24 22:40:19,备忘,信息,国庆假期调休方案已公布，放8天假,,,否,,,,,否,,,
保存工作证号：WORK-CA-135790,`2025-06-24 22:47:16,备忘,信息,工作证号：WORK-CA-135790,,,否,,,,,否,,,
存个文本：凯恩斯提出有效需求理论,`2025-06-24 22:51:29,备忘,知识,凯恩斯提出有效需求理论,,,否,,,,,否,,,
存个档，用户建议增加个性化皮肤,`2025-06-24 22:56:39,备忘,工作,用户建议增加个性化皮肤,,,否,,,,,否,,,
记下这句词：衣带渐宽终不悔，为伊消得人憔悴,`2025-06-24 23:28:16,备忘,笔记,诗：衣带渐宽终不悔，为伊消得人憔悴,,,否,,,,,否,,,
保存HR政策：新增育儿假15天,`2025-06-24 23:44:12,备忘,信息,HR政策：新增育儿假15天,,,否,,,,,否,,,
帮我存下交易编号是JY20240815321,`2025-06-25 00:16:05,备忘,信息,交易编号是JY20240815321,,,否,,,,,否,,,
存下这个密码：门禁系统密码改为2468,`2025-06-25 00:57:23,备忘,信息,密码：门禁系统密码改为2468,,,否,,,,,否,,,
记下来，年会抽奖一等奖是笔记本电脑,`2025-06-25 01:13:53,备忘,信息,年会抽奖一等奖是笔记本电脑,,,否,,,,,否,,,
保存社保号：SOCIAL-US-123456789,`2025-06-25 01:52:08,备忘,信息,社保号：SOCIAL-US-123456789,,,否,,,,,否,,,
存个文本：量子纠缠现象被实验证实,`2025-06-25 02:11:36,备忘,笔记,量子纠缠现象被实验证实,,,否,,,,,否,,,
存个档，用户希望增加夜间防蓝光模式,`2025-06-25 02:26:42,备忘,工作,用户希望增加夜间防蓝光模式,,,否,,,,,否,,,
记下这句诗：不畏浮云遮望眼，自缘身在最高层,`2025-06-25 02:57:34,备忘,笔记,诗：不畏浮云遮望眼，自缘身在最高层,,,否,,,,,否,,,
保存董事会决定：收购竞争对手,`2025-06-25 03:04:03,备忘,工作,董事会决定：收购竞争对手,,,否,,,,,否,,,
帮我存下病历号是BL20240928009,`2025-06-25 03:13:27,备忘,信息,病历号是BL20240928009,,,否,,,,,否,,,
存下这个信息：展厅地址变更为国贸大厦,`2025-06-25 03:30:16,备忘,信息,展厅地址变更为国贸大厦,,,否,,,,,否,,,
