query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time,start_time_chinese,end_time_chinese,remind_time_chinese
用户:帮我记一下下周三11点有个客户约见; 你:下周三11点到12点已经有项目例会了。客户约见要换个时间吗？; 用户:改到周三11点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,约见,客户约见,,客户,`2025-06-25 11:00:00,`2025-06-25 13:00:00,`2025-06-25 10:45:00,否,,,,周三11点,周三13点,周三10点45分
用户:帮我记一下下周四8点有个部门例会; 你:下周四8点到9点已经有客户拜访了。部门例会要换个时间吗？; 用户:改到周四8点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,会议,部门例会,,,`2025-06-26 08:00:00,`2025-06-26 09:00:00,`2025-06-26 07:45:00,否,,,,周四8点,周四9点,周四7点45分
用户:下周三12点有个项目会议，帮我记一下; 你:下周三12点到下午1点已经安排了健身训练。项目会议要换个时间吗？; 用户:改到周三12点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-30 05:50:17,日程,会议,项目会议,,,`2025-07-09 12:00:00,`2025-07-09 14:00:00,`2025-07-09 11:45:00,否,,,,下周三12点,下周三下午2点,下周三11点45分
用户:帮我记下周一下午2点有个产品会议; 你:好的，什么时间提醒你？; 用户:提前半小时提醒我,`2025-06-24 03:32:18,日程,会议,产品会议,,,`2025-06-30 14:00:00,,`2025-06-30 13:30:00,否,,,,下周一下午2点,,下周一下午1:30
用户:帮我记下周二晚上8点有个健身课; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,学习,健身课,,,`2025-07-01 20:00:00,,`2025-07-01 19:00:00,否,,,,下周二晚上8点,,下周二晚上7点
用户:帮我记下周六早上8点有个家庭聚餐; 你:好的，什么时间提醒你呢？; 用户:提前3小时提醒我,`2025-06-24 03:32:18,日程,家庭,家庭聚餐,,,`2025-06-28 08:00:00,,`2025-06-28 05:00:00,否,,,,周六早上8点,,周六早上5点
用户:帮我记下周日晚上6点有个团队聚餐; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-24 03:32:18,日程,应酬,团队聚餐,,,`2025-06-29 18:00:00,`2025-06-29 20:00:00,`2025-06-29 15:00:00,否,,,,周日晚上6点,周日晚上8点,周日下午3点
用户:帮我记一下周四中午12点有个项目汇报会; 你:周四12点到下午1点已经有部门例会了。项目汇报会要换个时间吗？; 用户:改到下周四12点吧。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-24 03:32:18,日程,会议,项目汇报会,,,`2025-07-03 12:00:00,`2025-07-03 14:00:00,`2025-07-03 09:00:00,否,,,,下周四中午12点,下周四下午2点,下周四上午9点
用户:帮我记下周一晚上6点有个项目会议; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-25 01:33:19,日程,会议,项目会议,,,`2025-06-30 18:00:00,`2025-06-30 20:00:00,`2025-06-30 17:00:00,否,,,,周一晚上6点,周一晚上8点,周一下午5点
用户:帮我记下周二下午2点有个客户约见; 你:好的，需要持续多长时间啊？; 用户:大概2小时吧; 你:提前3小时叫你，可以吗？; 用户:好的,`2025-06-25 01:33:19,日程,约见,客户约见,,客户,`2025-07-01 14:00:00,`2025-07-01 16:00:00,`2025-07-01 11:00:00,否,,,,下周二下午2点,下周二下午4点,下周二上午11点
用户:帮我记下周五13点有个客户约见; 你:周五下午1点已经有供应商会议了。客户约见要换个时间吗？; 用户:改到周五上午10点吧; 你:好嘞，提前3小时叫你，成不？; 用户:可以,`2025-06-25 01:33:19,日程,约见,客户约见,,客户,`2025-06-27 10:00:00,,`2025-06-27 07:00:00,否,,,,周五上午10点,,周五上午7点
用户:帮我记一下周六11点有个项目会议; 你:周六11点到12点已经有客户拜访了。项目会议要换个时间吗？; 用户:改到下午1点吧; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-25 01:33:19,日程,会议,项目会议,,,`2025-06-28 13:00:00,`2025-06-28 14:00:00,`2025-06-28 12:00:00,否,,,,周六下午1点,周六下午2点,周六上午12点
用户:帮我记下周日中午12点有个客户约见; 你:好的，这个约见大概要多久啊？; 用户:大概2小时吧; 你:提前半小时提醒你，可以吗？; 用户:行,`2025-06-25 01:33:19,日程,约见,客户约见,,客户,`2025-06-29 12:00:00,`2025-06-29 14:00:00,`2025-06-29 11:30:00,否,,,,周日中午12点,周日下午2点,周日中午11点30分
用户:帮我记下周二下午4点有个项目会议; 你:好的，这个会要开多久啊？; 用户:大概1个小时吧; 你:提前3小时提醒你，可以吗？; 用户:ok,`2025-06-26 01:21:47,日程,会议,项目会议,,,`2025-07-01 16:00:00,`2025-07-01 17:00:00,`2025-07-01 13:00:00,否,,,,下周二下午4点,下周二下午5点,下周二下午1点
用户:帮我记下周三下午2点有个项目会议; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-26 01:21:47,日程,会议,项目会议,,,`2025-07-02 14:00:00,`2025-07-02 15:00:00,`2025-07-02 13:45:00,否,,,,下周三下午2点,下周三下午3点,下周三下午1点45分
用户:帮我记下周四11点有个团队会议; 你:好的，什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-26 01:21:47,日程,会议,团队会议,,,`2025-07-03 11:00:00,,`2025-07-03 08:00:00,否,,,,下周四11点,,下周四8点
用户:帮我记下周五晚上6点有个朋友聚餐; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前半小时提醒我,`2025-06-26 01:21:47,日程,约见,朋友聚餐,,朋友,`2025-06-27 18:00:00,`2025-06-27 20:00:00,`2025-06-27 17:30:00,否,,,,周五晚上6点,周五晚上8点,周五晚上5点半
用户:帮我记下周六下午4点有个项目讨论会; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-26 01:21:47,日程,会议,项目讨论会,,,`2025-07-05 16:00:00,`2025-07-05 18:00:00,`2025-07-05 15:00:00,否,,,,下周六下午4点,下周六下午6点,下周六下午3点
用户:帮我记下周日早上10点有个项目汇报会; 你:好的，这个会大概要开多久呀？; 用户:差不多1小时吧; 你:那我提前半小时提醒你准备可以吗？; 用户:ok,`2025-06-26 01:21:47,日程,会议,项目汇报会,,,`2025-06-30 10:00:00,`2025-06-30 11:00:00,`2025-06-30 09:30:00,否,,,,下周一早上10点,下周一早上11点,下周一早上9点半
用户:帮我记下周一下午3点有个项目会议; 你:好的，大概要开多久啊？; 用户:差不多2小时吧; 你:提前半小时提醒你，行吗？; 用户:可以,`2025-06-27 04:00:31,日程,会议,项目会议,,,`2025-06-30 15:00:00,`2025-06-30 17:00:00,`2025-06-30 14:30:00,否,,,,下周一下午3点,下周一下午5点,下周一下午2点半
用户:帮我记一下周三7点有个项目例会; 你:周三7点到8点已经有客户约谈了。项目例会要换个时间吗？; 用户:改到19点吧。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,会议,项目例会,,,`2025-07-02 19:00:00,`2025-07-02 21:00:00,`2025-07-02 16:00:00,否,,,,周三19点,周三21点,周三16点
用户:帮我记下周四13点有个团队会议; 你:好的，什么时间提醒你呀？; 用户:提前2小时提醒我,`2025-06-27 04:00:31,日程,会议,团队会议,,,`2025-07-03 13:00:00,,`2025-07-03 11:00:00,否,,,,下周四13点,,下周四11点
用户:帮我记下周五晚上7点有个部门聚餐; 你:好的，大概要聚多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-27 04:00:31,日程,应酬,部门聚餐,,,`2025-06-27 19:00:00,`2025-06-27 20:00:00,`2025-06-27 18:00:00,否,,,,周五晚上7点,周五晚上8点,周五晚上6点
用户:帮我记下周六16点有个客户接待; 你:好的，大概要接待多久啊？; 用户:差不多2小时吧; 你:提前15分钟叫你，可以吗？; 用户:好的,`2025-06-27 04:00:31,日程,约见,客户接待,,客户,`2025-06-28 16:00:00,`2025-06-28 18:00:00,`2025-06-28 15:45:00,否,,,,周六16点,周六18点,周六15点45分
用户:帮我记下周一11点要去看牙医; 你:好的，大概要看多久啊？; 用户:差不多1小时吧; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-28 01:02:51,日程,就医,去看牙医,,,`2025-06-30 11:00:00,`2025-06-30 12:00:00,`2025-06-30 10:45:00,否,,,,周一11点,周一12点,周一10点45分
用户:帮我记下周三10点有个产品会议; 你:好的，这个会大概要开多久呀？; 用户:大概2小时吧; 你:提前2小时提醒你可以吗？; 用户:没问题,`2025-06-28 01:02:51,日程,会议,产品会议,,,`2025-07-02 10:00:00,`2025-07-02 12:00:00,`2025-07-02 08:00:00,否,,,,周三10点,周三12点,周三8点
用户:帮我记下周五16点有个部门例会; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:什么时间提醒你？; 用户:提前3小时提醒我,`2025-06-28 01:02:51,日程,会议,部门例会,,,`2025-07-04 16:00:00,`2025-07-04 18:00:00,`2025-07-04 13:00:00,否,,,,周五16点,周五18点,周五13点
用户:帮我记一下周日14点有个健身课; 你:周日14点到15点已经有客户约见了。健身课要换个时间吗？; 用户:改到10点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-28 01:02:51,日程,学习,健身课,,,`2025-06-29 10:00:00,`2025-06-29 12:00:00,`2025-06-29 09:00:00,否,,,,周日10点,周日12点,周日9点
用户:帮我记下周日晚上8点有个瑜伽课; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:什么时间提醒你？; 用户:提前半小时提醒我,`2025-06-28 01:02:51,日程,运动,瑜伽课,,,`2025-06-29 20:00:00,`2025-06-29 21:00:00,`2025-06-29 19:30:00,否,,,,周日晚上8点,周日晚上9点,周日晚上7点半
用户:帮我记下周一晚上8点有个团队会议; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-29 02:05:38,日程,会议,团队会议,,,`2025-06-30 20:00:00,`2025-06-30 21:00:00,`2025-06-30 19:00:00,否,,,,周一晚上8点,周一晚上9点,周一晚上7点
用户:帮我记下周二下午3点有个访谈; 你:好的，什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-29 02:05:38,日程,会议,访谈,,,`2025-07-01 15:00:00,,`2025-07-01 14:45:00,否,,,,下周二下午3点,,下周二下午2点45分
用户:帮我记一下周三20点有个健身课; 你:周三20点到21点已经有项目复盘会了。健身课要换个时间吗？; 用户:改到19点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前2小时叫你，成不？; 用户:ok,`2025-06-29 02:05:38,日程,学习,健身课,,,`2025-07-02 19:00:00,`2025-07-02 20:00:00,`2025-07-02 17:00:00,否,,,,周三19点,周三20点,周三17点
用户:帮我记下周五早上8点有个团队会议; 你:好的，这个会议大概要开多久啊？; 用户:差不多2小时吧; 你:那提前半小时提醒你，可以吗？; 用户:没问题,`2025-06-29 02:05:38,日程,会议,团队会议,,,`2025-07-04 08:00:00,`2025-07-04 10:00:00,`2025-07-04 07:30:00,否,,,,周五早上8点,周五上午10点,周五早上7点半
用户:帮我记一下周日17点有个读书会; 你:周日下午5点到6点已经有健身课了。读书会要换个时间吗？; 用户:改到晚上7点吧; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-29 02:05:38,日程,读书,参加读书会,,,`2025-06-29 19:00:00,`2025-06-29 21:00:00,`2025-06-29 18:45:00,否,,,,周日晚上7点,周日晚上9点,周日晚上6点45分
用户:帮我记一下周天16点有个客户拜访; 你:周天16点到18点已经有团队会议了。客户拜访要换个时间吗？; 用户:改到周天14点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前2小时叫你，成不？; 用户:ok,`2025-06-29 02:05:38,日程,约见,客户拜访,,客户,`2025-06-29 14:00:00,`2025-06-29 16:00:00,`2025-06-29 12:00:00,否,,,,周天14点,周天16点,周天12点
用户:帮我记下周日下午1点有个客户约谈; 你:好的，什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-29 02:05:38,日程,约见,客户约谈,,客户,`2025-07-06 13:00:00,,`2025-07-06 12:45:00,否,,,,下周日下午1点,,下周日下午12:45
用户:帮我记下周一12点有个团队例会; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-30 05:50:17,日程,会议,团队例会,,,`2025-06-30 12:00:00,,`2025-06-30 11:00:00,否,,,,周一12点,,周一11点
用户:帮我记一下周二10点有个团队会议; 你:10点到12点已经有客户拜访了。团队会议要换个时间吗？; 用户:改到13点。; 你:好的，大概要开多久啊？; 用户:大概1小时吧。; 你:提前15分钟提醒你，可以吗？; 用户:ok,`2025-06-30 05:50:17,日程,会议,团队会议,,,`2025-07-01 13:00:00,`2025-07-01 14:00:00,`2025-07-01 12:45:00,否,,,,周二13点,周二14点,周二12点45分
用户:帮我记一下周三10点有个项目讨论会; 你:10点到11点已经有团队周会了。项目讨论会要换个时间吗？; 用户:改到12点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前15分钟叫你，成不？; 用户:成,`2025-06-30 05:50:17,日程,会议,项目讨论会,,,`2025-07-02 12:00:00,`2025-07-02 14:00:00,`2025-07-02 11:45:00,否,,,,周三中午12点,周三下午2点,周三中午11点45分
用户:帮我记一下周四11点有个项目会议; 你:11点到13点已经有客户拜访了。项目会议要换个时间吗？; 用户:改到16点。; 你:提前1小时叫你，成不？; 用户:好,`2025-06-30 05:50:17,日程,会议,项目会议,,,`2025-07-03 16:00:00,,`2025-07-03 15:00:00,否,,,,周四16点,,周四15点
用户:帮我记下周五13点有个项目汇报; 你:好的，什么时间提醒你？; 用户:提前2小时提醒我,`2025-06-30 05:50:17,日程,会议,项目汇报,,,`2025-07-04 13:00:00,,`2025-07-04 11:00:00,否,,,,周五13点,,周五11点
用户:帮我记一下周六7点有个闺蜜聚会; 你:7点到9点已经有健身私教课了。闺蜜聚会要换个时间吗？; 用户:改到17点吧。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:行,`2025-06-30 05:50:17,日程,约见,闺蜜聚会,,闺蜜,`2025-07-05 17:00:00,`2025-07-05 19:00:00,`2025-07-05 14:00:00,否,,,,周六17点,周六19点,周六14点
用户:帮我记下周日8点有个团队会议; 你:8点到9点已经有健身私教课了。闺蜜聚会要换个时间吗？; 用户:改到晚上8点吧。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-30 05:50:17,日程,会议,团队会议,,,`2025-07-06 20:00:00,`2025-07-06 22:00:00,`2025-07-06 19:00:00,否,,,,周日晚上8点,周日晚上10点,周日晚上7点
用户:帮我记下周日下午3点有个团队会议; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-30 05:50:17,日程,会议,团队会议,,,`2025-07-06 15:00:00,`2025-07-06 17:00:00,`2025-07-06 14:00:00,否,,,,周日下午3点,周日下午5点,周日下午2点
用户:记下周三团队聚餐; 你:好嘞，啥时候开始？; 用户:下周三晚上六点开始; 你:下周三下午6点到晚上9点已经有同学聚会了。下周三团队聚餐要换个时间吗？; 用户:改到这周四晚上六点; 你:那我提前多久提醒你呀？; 用户:设置开始前10分钟提醒。,`2025-06-30 09:48:18,日程,应酬,团队聚餐,,,`2025-07-03 18:00:00,,`2025-07-03 17:50:00,否,,,,周四晚上六点,,周四晚上五点五十
用户:记下周三团队聚餐; 你:好嘞，啥时候开始？; 用户:下周三晚上六点开始; 你:下周三下午6点到晚上9点已经有同学聚会了。下周三团队聚餐要换个时间吗？; 用户:改到下周四晚上六点; 你:那我提前多久提醒你呀？; 用户:设置开始前10分钟提醒。,`2025-06-30 09:48:18,日程,应酬,团队聚餐,,,`2025-07-10 18:00:00,,`2025-07-10 17:50:00,否,,,,下周四晚上六点,,下周四晚上五点五十
用户:记下周末要洗车; 你:没问题，啥时候提醒你？; 用户:今晚10点提醒我; ,`2025-06-26 01:03:23,待办,生活,洗车,,,,,`2025-07-26 22:00:00,否,,,,,,今天晚上10点
用户:帮我记下周六同学聚会; 你:好嘞，啥时候开始？多久啊？; 用户:下午三点开始，大概两小时; 你:周六下午3点到下午5点已经有同学聚餐了。同学聚会要换个时间吗？; 用户:那把聚会改到周日下午4点开始吧,`2025-06-28 22:54:01,日程,应酬,同学聚会,,同学,`2025-06-29 16:00:00,`2025-06-29 18:00:00,,否,,,,周日下午4点,周日下午6点,
用户:记一下周五晚上8点剧本杀; 你:周五晚上8点提醒你？; 用户:改成周六下午3点提醒,`2025-06-30 12:44:54,日程,娱乐,剧本杀,,,`2025-07-05 15:00:00,,`2025-07-05 15:00:00,否,,,,周六下午3点,,周六下午3点
用户:记下周三团队聚餐; 你:好嘞，啥时候提醒你？; 用户:周三早上9点提醒我,`2025-06-30 22:38:38,日程,应酬,团队聚餐,,,`2025-07-09 09:00:00,,`2025-07-09 09:00:00,否,,,,下周三早上9点,,下周三早上9点
用户:下周三全天要参加行业峰会; 你:好嘞，在哪儿开呀？; 用户:上海国际会展中心; 你:好的，周三晚上8点提醒你，行不？; 用户:好的，没问题。,`2025-06-26 10:25:39,日程,展会,参加行业峰会,上海国际会展中心,,`2025-07-02 08:00:00,`2025-07-02 20:00:00,`2025-07-01 20:00:00,否,,,,下周三8点,下周三20点,下周二晚上8点
用户:这周日全天家庭日; 你:好嘞，提前一天晚上8点提醒你，行吗？用户:可以,`2025-06-24 20:42:31,日程,家庭,家庭日,,,`2025-06-29 08:00:00,`2025-06-29 20:00:00,`2025-06-28 20:00:00,否,,,,这周日8点,这周日20点,这周六晚上8点
用户:下周六全天家具采购,`2025-06-30 19:51:58,待办,购物,家具采购,,,`2025-07-12 08:00:00,`2025-07-12 20:00:00,,否,,,,下周六全天,下周六20点,
用户:下周六全天美容; 你:提前一天晚上8点提醒你，好吗？; 用户:好的,`2025-06-30 19:51:58,日程,美容,美容,,,`2025-07-12 08:00:00,`2025-07-12 20:00:00,`2025-07-11 20:00:00,否,,,,下周六上午8点,下周六晚上8点,下周五晚上8点
用户:下周六全天家长会; 你:提前一天晚上8点提醒你，好吗？; 用户:不用提醒这么早，当天提醒我就行,`2025-06-30 19:51:58,日程,会议,家长会,,,`2025-07-12 08:00:00,`2025-07-12 20:00:00,`2025-07-12 08:00:00,否,,,,下周六上午8点,下周六晚上8点,下周六上午8点
用户:下周一全天在家带娃; 你:周一下午4点到晚上8点，还有健身房私教课，带运动服，可能比较赶，在家带娃要换个时间吗？; 用户:私教课能不能改到周二？我想专心带娃周一整天。; 你:没问题，提前多久提醒你？; 用户:30分钟,`2025-06-24 08:57:27,日程,家庭,在家带娃,,,`2025-06-30 08:00:00,`2025-06-30 20:00:00,`2025-06-30 07:30:00,否,,,,周一全天,周一全天,周一提前30分钟
用户:下周日全天装修监工; 你:下周日下午5点半到晚上8点，还有志愿者服务，可能比较赶，装修监工要换个时间吗？; 用户:这个时间确实有点赶，要不把志愿者服务请假一下吧;  你:提前一天晚上8点提醒你，好吗？; 用户:好的,`2025-06-28 15:59:06,日程,工作,装修监工,,,`2025-07-06 08:00:00,`2025-07-06 20:00:00,`2025-07-05 20:00:00,否,,,,下周日上午8点,下周日晚上8点,提前一天晚上8点
用户:下周三全天外出调研; 你:周三下午6点到晚上8点，还有同学聚会，可能比较赶，外出调研要换个时间吗？; 用户:不用换时间，我可以先参加完调研再赶去聚会。; 你:提前一天晚上8点提醒你，好吗？; 用户:好的,`2025-06-28 15:01:18,日程,工作,外出调研,,,`2025-07-02 08:00:00,`2025-07-02 20:00:00,`2025-07-01 20:00:00,否,,,,下周三全天,下周三全天,下周二晚上8点
用户:下周日全天搬家整理; 你:没问题，啥时候提醒你？; 用户:下周三中午十二点提醒,`2025-06-27 06:04:26,待办,生活,搬家整理,,,`2025-07-06 08:00:00,`2025-07-06 20:00:00,`2025-07-02 12:00:00,否,,,,下周日上午8点,下周日晚上8点,下周三中午12点
用户:周六全天家具安装; 你:周六上午9点到晚上8点，还有带孩子看病，可能比较赶，家具安装要换个时间吗？; 用户:好的，那把家具安装改到周日下午吧。; 你:收到，啥时候提醒你？; 用户:提前1小时提醒我,`2025-06-27 15:36:21,日程,生活,家具安装,,,`2025-06-29 14:00:00,`2025-06-29 20:00:00,`2025-06-29 13:00:00,否,,,,周日下午14点,周日晚上8点,周日13点
用户:周三全天设备调试; 你:周三下午两点到晚上8点，还有客户提案，可能比较赶，设备调试要换个时间吗？; 用户:客户提案时间能不能提前到上午？这样下午还能安排设备调试。; 你:没问题，啥时候提醒你？; 用户:不用提醒了，我自己安排。,`2025-06-30 20:49:46,日程,工作,设备调试,,,`2025-07-02 08:00:00,`2025-07-02 20:00:00,周三,上午,周三,下午,,,,
用户:下周日全天家庭大扫除; 你:周日上午八点提醒你吗？; 用户:好的，就定在周日上午八点提醒我。  ,`2025-06-30 20:47:48,待办,家庭,家庭大扫除,,,`2025-07-13 08:00:00,`2025-07-13 20:00:00,`2025-07-13 08:00:00,否,,,,下周日上午8点,下周日晚上8点,下周日上午8点
用户:下周五全天行业展会; 你:下午5点还有和老李一起吃早点，可能比较赶，行业展会需要改个时间吗？; 用户:我看看有没有其他时间段可以调整。; 你:OK，啥时候提醒你？; 用户:不用提醒了，改成下周四上午。,`2025-06-30 20:48:30,日程,展会,行业展会,,,`2025-07-10 08:00:00,`2025-07-10 20:00:00,,否,,,,下周四上午,下周四,
