query_hist,current_time,生成结果
本月31号设计网页界面原型,2025-06-24 02:34:22,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""工作"",""content"":""设计网页界面原型"",""place"":"""",""related_person"":"""",""start_date_chinese"":""本月31号"",""start_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""0"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 02:34:22""}}"
下周五全天开发新的业务渠道,2025-06-24 02:51:29,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""工作"",""content"":""开发新的业务渠道"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周五"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-04 08:00:00"",""end_time"":""2025-07-04 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 02:51:29""}}"
下周一上午8:30竞品分析与应对策略会,2025-06-24 02:51:36,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""竞品分析与应对策略会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周一"",""start_time_chinese"":""上午8:30"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 08:30:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 02:51:36""}}"
帮我记下下周二下午3点市场策略分析会,2025-06-24 02:58:17,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""市场策略分析会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周二"",""start_time_chinese"":""下午3点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 15:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 02:58:17""}}"
明天晚上7点线上英语课,2025-06-24 03:05:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""学习"",""content"":""线上英语课"",""place"":"""",""related_person"":"""",""start_date_chinese"":""明天"",""start_time_chinese"":""晚上7点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-25 19:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:05:18""}}"
下周三早上九点体检,2025-06-24 03:06:38,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""体检"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周三"",""start_time_chinese"":""早上九点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 09:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:06:38""}}"
本月25号产品评估员工绩效考核结果评审会,2025-06-24 04:33:39,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""产品评估员工绩效考核结果评审会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""本月25号"",""start_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 04:33:39""}}"
下周四全天安装调试新设备,2025-06-24 05:23:42,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""工作"",""content"":""安装调试新设备"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周四"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-03 08:00:00"",""end_time"":""2025-07-03 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 05:23:42""}}"
下周一上午9:30-11:30质量问题整改会,2025-06-24 05:33:21,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""质量问题整改会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周一"",""start_time_chinese"":""上午9:30"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 09:30:00"",""end_time"":""2025-06-30 11:30:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 05:33:21""}}"
下周一下午三点光明项目的签约仪式,2025-06-24 06:33:43,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""光明项目的签约仪式"",""place"":""光明"",""related_person"":"""",""start_date_chinese"":""下周一下午"",""start_time_chinese"":""三点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 15:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 06:33:43""}}"
下周二下午4点理发，到时提醒一下,2025-06-24 06:49:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""美容"",""content"":""理发"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周二"",""start_time_chinese"":""下午4点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 16:00:00"",""end_time"":"""",""remind_time"":""2025-07-01 16:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 06:49:12""}}"
本月20号清理垃圾，到时提醒一下,2025-06-24 07:25:20,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""生活"",""content"":""清理垃圾"",""place"":"""",""related_person"":"""",""start_date_chinese"":""本月20号"",""start_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 07:25:20""}}"
周五晚上七点团建,2025-06-24 07:42:47,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""活动"",""content"":""团建"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周五"",""start_time_chinese"":""晚上七点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 19:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 07:42:47""}}"
下周六全天婚礼彩排,2025-06-24 08:15:48,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""婚礼"",""content"":""婚礼彩排"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周六"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-05 08:00:00"",""end_time"":""2025-07-05 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 08:15:48""}}"
下周四晚上8点线上拍卖,2025-06-24 08:22:06,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""线上拍卖"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周四"",""start_time_chinese"":""晚上8点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-03 20:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 08:22:06""}}"
本月31号下午三点客户满意度提升方案会,2025-06-24 08:33:55,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""客户满意度提升方案会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""本月31号"",""start_time_chinese"":""下午三点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 15:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 08:33:55""}}"
后天下午三点优化库存管理系统,2025-06-24 08:47:24,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""工作"",""content"":""优化库存管理系统"",""place"":"""",""related_person"":"""",""start_date_chinese"":""后天"",""start_time_chinese"":""下午三点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 15:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 08:47:24""}}"
下周四全天安全生产应急演练总结会,2025-06-24 09:31:04,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""安全生产应急演练总结会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周四"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-03 08:00:00"",""end_time"":""2025-07-03 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 09:31:04""}}"
下周日全天参加亲子活动,2025-06-24 10:07:03,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""活动"",""content"":""参加亲子活动"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周日"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-06 08:00:00"",""end_time"":""2025-07-06 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 10:07:03""}}"
帮我记下下个月1号还信用卡，到时提醒一下,2025-06-24 10:23:45,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""财务"",""content"":""还信用卡"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下个月1号"",""start_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 10:23:45""}}"
下周二全天审核采购合同条款,2025-06-24 10:37:35,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""工作"",""content"":""审核采购合同条款"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周二"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 08:00:00"",""end_time"":""2025-07-01 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 10:37:35""}}"
后天下午两点整理客户资料,2025-06-24 10:43:44,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""资料"",""content"":""整理客户资料"",""place"":"""",""related_person"":"""",""start_date_chinese"":""后天"",""start_time_chinese"":""下午两点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 14:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 10:43:44""}}"
本月30号分析季度销售数据的会,2025-06-24 10:57:58,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""分析季度销售数据的会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""本月30号"",""start_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 10:57:58""}}"
周日早上6点登山徒步，到时提醒我一下,2025-06-24 11:02:15,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""运动"",""content"":""周日早上6点登山徒步"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周日"",""start_time_chinese"":""早上6点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-29 06:00:00"",""end_time"":"""",""remind_time"":""2025-06-29 06:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 11:02:15""}}"
周六上午9点带小孩上钢琴课,2025-06-24 11:05:57,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""教育"",""content"":""带小孩上钢琴课"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周六"",""start_time_chinese"":""上午9点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 09:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 11:05:57""}}"
本月最后一个周五应急预案演练总结会,2025-06-24 11:11:39,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""应急预案演练总结会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""本月最后一个周五"",""start_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 11:11:39""}}"
下周三上午10点技术难题攻坚专题会,2025-06-24 11:44:06,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""技术难题攻坚专题会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周三"",""start_time_chinese"":""上午10点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 10:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 11:44:06""}}"
下周三全天更新项目进度,2025-06-24 11:56:03,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""工作"",""content"":""更新项目进度"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周三"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 08:00:00"",""end_time"":""2025-07-02 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 11:56:03""}}"
后天中午十二点商务晚餐,2025-06-24 12:09:08,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""约见"",""content"":""商务晚餐"",""place"":"""",""related_person"":"""",""start_date_chinese"":""后天"",""start_time_chinese"":""中午十二点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 12:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 12:09:08""}}"
周六下午3点选购护肤用品，到时提醒我一下,2025-06-24 13:22:22,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""购物"",""content"":""选购护肤用品"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周六"",""start_time_chinese"":""下午3点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 15:00:00"",""end_time"":"""",""remind_time"":""2025-06-28 15:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 13:22:22""}}"
周五下午5点健身操训练，提醒我一下,2025-06-24 13:54:44,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""运动"",""content"":""健身操训练"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周五"",""start_time_chinese"":""下午5点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 17:00:00"",""end_time"":"""",""remind_time"":""2025-06-27 17:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 13:54:44""}}"
周三下午两点到四点半用户测试,2025-06-24 13:55:36,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""用户测试"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周三"",""start_time_chinese"":""下午两点到四点半"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-25 14:00:00"",""end_time"":""2025-06-25 16:30:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 13:55:36""}}"
周六上午九点半维修办公电脑故障,2025-06-24 14:17:31,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""工作"",""content"":""维修办公电脑故障"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周六"",""start_time_chinese"":""九点半"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 09:30:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 14:17:31""}}"
下周三晚上8点线上考试,2025-06-24 14:56:38,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""考试"",""content"":""线上考试"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周三"",""start_time_chinese"":""晚上8点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 20:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 14:56:38""}}"
本月31号处理员工考勤数据,2025-06-24 15:06:44,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""工作"",""content"":""处理员工考勤数据"",""place"":"""",""related_person"":"""",""start_date_chinese"":""本月31号"",""start_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""2"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 15:06:44"",""is_stop"":true,""reply_content"":""开始时间不存在哦，重说一下呗""}}"
周五晚上6点公司周年庆,2025-06-24 15:20:36,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""活动"",""content"":""公司周年庆"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周五"",""start_time_chinese"":""晚上6点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 18:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 15:20:36""}}"
下个月10号修理水龙头，到时提醒我一下,2025-06-24 15:31:01,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""维修"",""content"":""修理水龙头"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下个月10号"",""start_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""0"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 15:31:01""}}"
后天早上7点晨跑比赛，到时提醒我一下,2025-06-24 15:44:37,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""运动"",""content"":""晨跑比赛"",""place"":"""",""related_person"":"""",""start_date_chinese"":""后天"",""start_time_chinese"":""早上7点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 07:00:00"",""end_time"":"""",""remind_time"":""2025-06-26 07:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 15:44:37""}}"
下周三全天市场备份重要文件,2025-06-24 15:48:40,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""资料"",""content"":""市场备份重要文件"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周三"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 08:00:00"",""end_time"":""2025-07-02 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 15:48:40""}}"
下周一全天备份重要数据文件,2025-06-24 16:09:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""资料"",""content"":""备份重要数据文件"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周一时"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 08:00:00"",""end_time"":""2025-06-30 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 16:09:12""}}"
明天下午三点擦拭家具，到时提醒我一下,2025-06-24 16:32:55,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""家务"",""content"":""擦拭家具"",""place"":"""",""related_person"":"""",""start_date_chinese"":""明天"",""start_time_chinese"":""下午三点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-25 15:00:00"",""end_time"":"""",""remind_time"":""2025-06-25 14:55:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 16:32:55""}}"
