query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_right,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time
周三下午两点到四点半用户测试,`2025-06-24 13:55:36,日程,会议,用户测试,,,是,0,`2025-06-25 14:00:00,`2025-06-25 16:30:00,,否,,,
周六上午九点半维修办公电脑故障,`2025-06-24 14:17:31,日程,工作,维修办公电脑故障,,,是,0,`2025-06-28 09:30:00,,,否,,,
下周三晚上8点线上考试,`2025-06-24 14:56:38,日程,考试,线上考试,,,是,0,`2025-07-02 20:00:00,,,否,,,
本月31号处理员工考勤数据,`2025-06-24 15:06:44,待办,工作,处理员工考勤数据,,,否,2,,,,否,,,
周五晚上6点公司周年庆,`2025-06-24 15:20:36,日程,活动,公司周年庆,,,是,0,`2025-06-27 18:00:00,,,否,,,
下个月10号修理水龙头，到时提醒我一下,`2025-06-24 15:31:01,待办,维修,修理水龙头,,,否,0,,,,否,,,
后天早上7点晨跑比赛，到时提醒我一下,`2025-06-24 15:44:37,日程,运动,晨跑比赛,,,是,0,`2025-06-26 07:00:00,,`2025-06-26 07:00:00,否,,,
下周三全天市场备份重要文件,`2025-06-24 15:48:40,日程,资料,市场备份重要文件,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
下周一全天备份重要数据文件,`2025-06-24 16:09:12,日程,资料,备份重要数据文件,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
明天下午三点擦拭家具，到时提醒我一下,`2025-06-24 16:32:55,待办,家务,擦拭家具,,,是,0,`2025-06-25 15:00:00,,`2025-06-25 14:55:00,否,,,
下个月8号上午九点版本发布,`2025-06-24 18:38:34,日程,资料,版本发布,,,是,0,`2025-07-08 09:00:00,,,否,,,
明天上午九点用户画像工作坊,`2025-06-24 19:14:55,日程,会议,用户画像工作坊,,,是,0,`2025-06-25 09:00:00,,,否,,,
下周六全天搬家,`2025-06-24 19:18:02,日程,搬家,搬家,,,是,0,`2025-07-05 08:00:00,`2025-07-05 20:00:00,,否,,,
后天晚上8点线上粉丝会,`2025-06-24 19:33:05,日程,会议,线上粉丝会,,,是,0,`2025-06-26 20:00:00,,,否,,,
帮我记下下周一上午十点新媒体运营策略研讨会,`2025-06-24 19:50:10,日程,会议,新媒体运营策略研讨会,,,是,0,`2025-06-30 10:00:00,,,否,,,
下周三上午11点签证面试,`2025-06-24 20:37:55,日程,会议,签证面试,,,是,0,`2025-07-02 11:00:00,,,否,,,
下个月5号数据埋点,`2025-06-24 21:08:35,待办,工作,数据埋点,,,否,1,,,,否,,,
下个月10号叠放衣物，到时提醒我一下,`2025-06-24 21:11:15,待办,家务,叠放衣物,,,否,0,,,,否,,,
帮我记下下周一上午十点半供应链优化协调会,`2025-06-24 21:30:58,日程,会议,供应链优化协调会,,,是,0,`2025-06-30 10:30:00,,,否,,,
下周一全天封闭开发,`2025-06-24 21:31:09,日程,工作,全天封闭开发,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
明天早上9点有个培训成果汇报会,`2025-06-24 21:31:26,日程,会议,培训成果汇报会,,,是,0,`2025-06-25 09:00:00,,,否,,,
明天下午4点成本控制分析会,`2025-06-24 21:33:40,日程,会议,成本控制分析会,,,是,0,`2025-06-25 16:00:00,,,否,,,
本月30号上午10点技术方案评审会,`2025-06-24 21:51:26,日程,会议,技术方案评审会,,,是,0,`2025-06-30 10:00:00,,,否,,,
明天下午5点英语课,`2025-06-24 22:10:09,日程,学习,英语课,,,是,0,`2025-06-25 17:00:00,,,否,,,
下周三下午三点竞品分析,`2025-06-24 22:17:03,日程,会议,竞品分析,,,是,0,`2025-07-02 15:00:00,,,否,,,
本月28号要梳发化妆，到时提醒我一下,`2025-06-24 22:23:03,待办,健康,梳发化妆,,,否,1,,,,否,,,
明天下午三点整理文件，到时提醒我一下,`2025-06-24 22:29:00,待办,工作,整理文件,,,是,0,`2025-06-25 15:00:00,,`2025-06-25 15:00:00,否,,,
大后天晚上7点五年级家长会,`2025-06-24 22:40:19,日程,会议,五年级家长会,,,是,0,`2025-06-28 19:00:00,,,否,,,
周五下午四点年度预算编制协调会,`2025-06-24 22:47:16,日程,会议,年度预算编制协调会,,,是,0,`2025-06-27 16:00:00,,,否,,,
本月26号用户反馈分析,`2025-06-24 22:51:29,备忘,,,,,,,,,,,,,
周六下午2点同学聚会,`2025-06-24 22:56:39,日程,约见,同学聚会,,,是,0,`2025-06-28 14:00:00,,,否,,,
明天下午3点采购家电耗材，到时提醒我一下,`2025-06-24 23:28:16,待办,购物,采购家电耗材,,,是,0,`2025-06-25 15:00:00,,`2025-06-25 15:00:00,否,,,
下周三下午2点拜访客户,`2025-06-24 23:44:12,日程,约见,拜访客户,,,是,0,`2025-07-02 14:00:00,,,否,,,
周四上午11点会同学聚会,`2025-06-25 00:16:05,日程,约见,会同学聚会,,,是,0,`2025-06-26 11:00:00,,,否,,,
本月30号上午十点跨部门项目启动会,`2025-06-25 00:42:34,日程,会议,跨部门项目启动会,,,是,0,`2025-06-30 10:00:00,,,否,,,
后天下午两点购买婴儿用品，到时提醒我一下,`2025-06-25 00:57:23,待办,购物,购买婴儿用品,,,是,0,`2025-06-27 14:00:00,,`2025-06-27 14:00:00,否,,,
本月15号烹饪晚餐，到时提醒我一下,`2025-06-25 01:13:53,待办,生活,烹饪晚餐,,,否,0,,,,否,,,
下周四全天财务报表审核,`2025-06-25 01:52:08,日程,工作,财务报表审核,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
下周三全天办公场地选址决策会议,`2025-06-25 02:11:36,日程,会议,办公场地选址决策会议,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
明天中午12点约了小明的老师一起午餐,`2025-06-25 02:26:42,日程,约见,约了小明的老师一起午餐,,小明的老师,是,0,`2025-06-26 12:00:00,,,否,,,
周五下午四点编写市场推广方案,`2025-06-25 02:57:34,日程,工作,编写市场推广方案,,,是,0,`2025-06-27 16:00:00,,,否,,,
提醒我下周四下午3点瑜伽拉伸,`2025-06-25 03:04:03,待办,运动,瑜伽拉伸,,,是,0,`2025-07-03 15:00:00,,,否,,,
下周三上午10点供应商会议,`2025-06-25 03:13:27,日程,会议,供应商会议,,,是,0,`2025-07-02 10:00:00,,,否,,,
下周五全天去苏州富士康出差,`2025-06-25 03:23:06,日程,差旅,去苏州富士康出差,苏州富士康,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
明天早上七点半员工晋升评审会议,`2025-06-25 03:30:16,日程,会议,员工晋升评审会议,,,是,0,`2025-06-26 07:30:00,,,否,,,
周六全天团建,`2025-06-25 04:14:12,日程,活动,团建,,,是,0,`2025-06-28 08:00:00,`2025-06-28 20:00:00,,否,,,
明天下午1点新车试驾,`2025-06-25 04:30:12,日程,出行,新车试驾,,,是,0,`2025-06-26 13:00:00,,,否,,,
本月29号上午十点供应商洽谈,`2025-06-25 05:10:05,日程,会议,供应商洽谈,,,是,0,`2025-06-29 10:00:00,,,否,,,
本月28号设备采购选型评估会议,`2025-06-25 05:35:08,日程,会议,设备采购选型评估会议,,,否,1,,,,否,,,
下周日全天全家去野营烧烤,`2025-06-25 05:43:27,日程,出行,全家去野营烧烤,,全家,是,0,`2025-07-06 08:00:00,`2025-07-06 20:00:00,,否,,,
后天晚上七点线上课程,`2025-06-25 06:03:48,日程,学习,线上课程,,,是,0,`2025-06-27 19:00:00,,,否,,,
周五下午三点客户投诉处理经验交流会,`2025-06-25 06:11:28,日程,会议,客户投诉处理经验交流会,,,是,0,`2025-06-27 15:00:00,,,否,,,
下周一全天撰写项目结题报告,`2025-06-25 06:27:24,日程,工作,撰写项目结题报告,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
明天早上6点坐火车,`2025-06-25 06:52:37,日程,出行,坐火车,,,是,0,`2025-06-26 06:00:00,,,否,,,
本月25号还房贷，到时提醒我一下,`2025-06-25 07:39:54,待办,工作,还房贷,,,否,0,,,,否,,,
周四上午十点绘制项目进度甘特图,`2025-06-25 08:13:16,日程,工作,绘制项目进度甘特图,,,是,0,`2025-06-26 10:00:00,,,否,,,
周五全天供应商合作洽谈会议,`2025-06-25 09:01:48,日程,会议,供应商合作洽谈会议,,,是,0,`2025-06-27 08:00:00,`2025-06-27 20:00:00,,否,,,
帮我记下周三下午2点选购新鲜水果，到时提醒我一下,`2025-06-25 09:49:39,待办,购物,选购新鲜水果,,,是,0,`2025-07-02 14:00:00,,`2025-07-02 14:00:00,否,,,
周六上午十点员工培训体系优化研讨会,`2025-06-25 09:52:06,日程,会议,员工培训体系优化研讨会,,,是,0,`2025-06-28 10:00:00,,,否,,,
明天早上7点送孩子比赛,`2025-06-25 10:27:43,日程,出行,送孩子比赛,,孩子,是,0,`2025-06-26 07:00:00,,,否,,,
周日早上9点带父母体检,`2025-06-25 10:34:20,日程,健康,带父母体检,,父母,是,0,`2025-06-29 09:00:00,,,否,,,
明天晚上9点直播带货,`2025-06-25 10:54:57,日程,直播,直播带货,,,是,0,`2025-06-26 21:00:00,,,否,,,
明天下午四点开发新业务渠道,`2025-06-25 10:58:20,日程,工作,开发新业务渠道,,,是,0,`2025-06-26 16:00:00,,,否,,,
周五全天季度销售业绩分析会,`2025-06-25 11:27:41,日程,会议,季度销售业绩分析会,,,是,0,`2025-06-27 08:00:00,`2025-06-27 20:00:00,,否,,,
明天上午十一点合同条款修订审核会,`2025-06-25 11:54:31,日程,会议,合同条款修订审核会,,,是,0,`2025-06-26 11:00:00,,,否,,,
下周五晚上8点线上读书会,`2025-06-25 12:11:47,日程,读书,线上读书会,,,是,0,`2025-07-04 20:00:00,,,否,,,
明天下午1点学术课题研讨会,`2025-06-25 12:18:27,日程,会议,学术课题研讨会,,,是,0,`2025-06-26 13:00:00,,,否,,,
下周五晚上6点公司年会,`2025-06-25 12:42:54,日程,会议,公司年会,,,是,0,`2025-07-04 18:00:00,,,否,,,
周日全天整理儿童房,`2025-06-25 13:24:32,日程,家庭,整理儿童房,,,是,0,`2025-06-29 08:00:00,`2025-06-29 20:00:00,,否,,,
周六下午1点剪头发，到时提醒我一下,`2025-06-25 13:39:44,待办,健康,剪头发,,,是,0,`2025-06-28 13:00:00,,`2025-06-28 13:00:00,否,,,
下周一全天需求优先级会议,`2025-06-25 13:55:34,日程,会议,需求优先级会议,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
本月29号产品上线复盘会,`2025-06-25 14:01:26,日程,会议,产品上线复盘会,,,否,1,,,,否,,,
后天下午三点半需求讨论会,`2025-06-25 14:21:04,日程,会议,需求讨论会,,,是,0,`2025-06-27 15:30:00,,,否,,,
本月30号客户需求对接会,`2025-06-25 14:32:14,日程,会议,客户需求对接会,,,否,1,,,,否,,,
帮我记下周五晚上6点生日派对,`2025-06-25 15:09:39,日程,聚会,生日派对,,,是,0,`2025-06-27 18:00:00,,,否,,,
本月28号整理员工档案，到时提醒我一下,`2025-06-25 15:24:13,待办,工作,整理员工档案,,,否,0,,,,否,,,
周五中午12点约了牙医,`2025-06-25 16:45:51,日程,就医,约了牙医,,,是,0,`2025-06-27 12:00:00,,,否,,,
本月30号处理应收款，到时提醒我一下,`2025-06-25 16:48:19,待办,应酬,处理应收款,,,否,0,,,,否,,,
后天上午十一点团队凝聚力建设研讨会,`2025-06-25 16:57:39,日程,会议,团队凝聚力建设研讨会,,,是,0,`2025-06-27 11:00:00,,,否,,,
明天九点用户研究会议,`2025-06-25 17:35:18,日程,会议,用户研究会议,,,是,0,`2025-06-26 09:00:00,,,否,,,
下周二上午10点挑选床上用品，到时提醒我一下,`2025-06-25 17:49:52,待办,购物,挑选床上用品,,,是,0,`2025-07-01 10:00:00,,`2025-07-01 10:00:00,否,,,
本月最后一个周五新员工座谈会,`2025-06-25 17:54:05,日程,会议,新员工座谈会,,,否,1,,,,否,,,
周六全天加班,`2025-06-25 18:04:39,日程,工作,加班,,,是,0,`2025-06-28 08:00:00,`2025-06-28 20:00:00,,否,,,
周六全天家装监工,`2025-06-25 19:02:38,日程,工作,家装监工,,,是,0,`2025-06-28 08:00:00,`2025-06-28 20:00:00,,否,,,
明天下午3点重点大客户拜访,`2025-06-25 19:16:33,日程,约见,重点大客户拜访,,,是,0,`2025-06-26 15:00:00,,,否,,,
本月最后一个工作日交评估报告，到时提醒我一下,`2025-06-25 19:30:23,待办,工作,交评估报告,,,否,1,,,,否,,,
下周三全天讨论企业文化建设方案,`2025-06-25 20:20:54,日程,会议,讨论企业文化建设方案,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
下周五全天产品售后服务优化会,`2025-06-25 20:27:59,日程,会议,产品售后服务优化会,,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
本月31号联系供应商补货,`2025-06-25 20:37:42,待办,工作,联系供应商补货,,,否,0,,,,否,,,
周四上午十一点见老友叙旧,`2025-06-25 20:38:55,日程,约见,见老友叙旧,,老友,是,0,`2025-06-26 11:00:00,,,否,,,
明天下午四点市场渠道拓展规划会议,`2025-06-25 20:53:59,日程,会议,市场渠道拓展规划会议,,,是,0,`2025-06-26 16:00:00,,,否,,,
后天上午十一点信息化系统升级论证会,`2025-06-25 21:19:13,日程,会议,信息化系统升级论证会,,,是,0,`2025-06-27 11:00:00,,,否,,,
周日早上8点钓鱼,`2025-06-25 21:48:53,日程,运动,钓鱼,,,是,0,`2025-06-29 08:00:00,,,否,,,
本月25号还花呗，到时提醒我一下,`2025-06-25 21:55:39,待办,健康,还花呗,,,否,0,,,,否,,,
下周二上午10点疫苗预约,`2025-06-25 22:44:22,日程,就医,疫苗预约,,,是,0,`2025-07-01 10:00:00,,,否,,,
帮我记下下个月8号供应商合作评估会,`2025-06-25 23:21:07,日程,会议,供应商合作评估会,,,否,0,,,,否,,,
下周六全天自驾游,`2025-06-25 23:44:06,日程,出行,自驾游,,,是,0,`2025-07-05 08:00:00,`2025-07-05 20:00:00,,否,,,
后天上午11点验房,`2025-06-25 23:57:37,日程,出行,验房,,,是,0,`2025-06-27 11:00:00,,,否,,,
本月30号现场处理问题,`2025-06-26 00:00:16,日程,工作,现场处理问题,,,否,0,,,,否,,,
记一下明天晚上8点线上培训,`2025-06-26 00:30:17,日程,会议,线上培训,,,是,0,`2025-06-27 20:00:00,,,否,,,
本月15号整理衣柜，到时提醒我一下,`2025-06-26 00:30:55,待办,整理,整理衣柜,,,否,0,,,,否,,,
明天中午12点约了老李打高尔夫,`2025-06-26 01:19:20,日程,运动,约了老李打高尔夫,,老李,是,0,`2025-06-27 12:00:00,,,否,,,
下周三全天撰写方案初稿,`2025-06-26 01:21:02,日程,工作,撰写方案初稿,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
下周日全天家庭日,`2025-06-26 02:05:20,日程,家庭,家庭日,,,是,0,`2025-07-06 08:00:00,`2025-07-06 20:00:00,,否,,,
帮我记下下周三中午12点商务午餐,`2025-06-26 02:53:23,日程,约见,商务午餐,,,是,0,`2025-07-02 12:00:00,,,否,,,
后天晚上7点半购买日用品，到时提醒我一下,`2025-06-26 02:56:05,待办,购物,购买日用品,,,是,0,`2025-06-28 19:30:00,,`2025-06-28 19:30:00,否,,,
后天下午两点分析市场调研数据,`2025-06-26 03:18:57,日程,工作,分析市场调研数据,,,是,0,`2025-06-28 14:00:00,,,否,,,
周六下午三点购买文具用品，到时提醒我一下,`2025-06-26 03:20:33,待办,购物,购买文具用品,,,是,0,`2025-06-28 15:00:00,,`2025-06-28 15:00:00,否,,,
下个月1号信用卡还款，提醒一下,`2025-06-26 03:22:47,待办,工作,信用卡还款,,,否,0,,,,否,,,
明天下午四点产品包装设计方案比选会,`2025-06-26 03:27:41,日程,会议,产品包装设计方案比选会,,,是,0,`2025-06-27 16:00:00,,,否,,,
下周三晚上高中同学聚会,`2025-06-26 03:28:02,日程,应酬,高中同学聚会,,,否,1,,,,否,,,
本月最后一个周日打扫卧室，到时提醒我一下,`2025-06-26 03:34:49,待办,清洁,打扫卧室,卧室,,否,0,,,,否,,,
下周六下午2点选购宠物食品，到时提醒我一下,`2025-06-26 04:11:34,待办,购物,选购宠物食品,,,是,0,`2025-07-05 14:00:00,,`2025-07-05 14:00:00,否,,,
下周三全天员工培训体系建设研讨会,`2025-06-26 04:16:16,日程,会议,员工培训体系建设研讨会,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
下个月8号员工晋升评审会,`2025-06-26 04:45:51,日程,会议,员工晋升评审会,,,否,1,,,,否,,,
本月28号企业文化建设推进会议,`2025-06-26 05:03:11,日程,会议,企业文化建设推进会议,,,否,1,,,,否,,,
下周三全天项目预算编制审核会议,`2025-06-26 05:10:40,日程,会议,项目预算编制审核会议,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
周五全天客户满意度提升专题会,`2025-06-26 05:14:11,日程,会议,客户满意度提升专题会,,,是,0,`2025-06-27 08:00:00,`2025-06-27 20:00:00,,否,,,
下周五晚上7点大学同学聚会,`2025-06-26 05:47:35,日程,约见,大学同学聚会,,,是,0,`2025-07-04 19:00:00,,,否,,,
周五全天跨部门协作流程优化会议,`2025-06-26 05:51:09,日程,会议,跨部门协作流程优化会议,,,是,0,`2025-06-27 08:00:00,`2025-06-27 20:00:00,,否,,,
下个月8号安全事故分析会,`2025-06-26 06:07:32,日程,会议,安全事故分析会,,,否,1,,,,否,,,
下周二下午两点合同条款洽谈会,`2025-06-26 06:44:39,日程,会议,合同条款洽谈会,,,是,0,`2025-07-01 14:00:00,,,否,,,
明天晚上6点网球课,`2025-06-26 06:48:56,日程,运动,网球课,,,是,0,`2025-06-27 18:00:00,,,否,,,
后天下午两点编写产品说明书,`2025-06-26 07:13:30,待办,工作,编写产品说明书,,,是,0,`2025-06-28 14:00:00,,,否,,,
本月30号商议年度预算分配评审会,`2025-06-26 07:16:02,日程,会议,商议年度预算分配评审会,,,否,1,,,,否,,,
周四下午4点美甲预约，到时提醒我一下,`2025-06-26 07:54:52,日程,约见,美甲预约,,,是,0,`2025-06-26 16:00:00,,`2025-06-26 16:00:00,否,,,
明天晚上7点半产品方案评审会,`2025-06-26 08:48:33,日程,会议,产品方案评审会,,,是,0,`2025-06-27 19:30:00,,,否,,,
本月30号计算个税，到时提醒我一下,`2025-06-26 09:02:23,待办,工作,计算个税,,,否,1,,,,否,,,
本月30号市场调研,`2025-06-26 09:09:17,日程,工作,市场调研,,,否,0,,,,否,,,
周六早上6点赶飞机,`2025-06-26 09:27:41,日程,出行,赶飞机,,,是,0,`2025-06-28 06:00:00,,,否,,,
记一下周五晚上8点直播旅行,`2025-06-26 09:47:13,日程,旅行,直播旅行,,,是,0,`2025-06-27 20:00:00,,,否,,,
记一下明天晚上9点线上会议,`2025-06-26 10:15:35,日程,会议,线上会议,,,是,0,`2025-06-27 21:00:00,,,否,,,
周四上午十一点约客户谈单,`2025-06-26 10:41:52,日程,约见,约客户谈单,,客户,是,0,`2025-06-26 11:00:00,,,否,,,
下周六全天婚礼筹备,`2025-06-26 11:31:54,日程,家庭,婚礼筹备,,,是,0,`2025-07-05 08:00:00,`2025-07-05 20:00:00,,否,,,
下个月8号质量问题分析会,`2025-06-26 11:36:24,日程,会议,质量问题分析会,,,否,1,,,,否,,,
周四上午十点到十二点用户访谈,`2025-06-26 11:57:19,日程,会议,用户访谈,,,是,0,`2025-06-26 10:00:00,`2025-06-26 12:00:00,,否,,,
明天上午11点接机，接朋友,`2025-06-26 12:44:04,日程,约见,接机,,朋友,是,0,`2025-06-27 11:00:00,,,否,,,
本月30号审核供应商合作提案评审会,`2025-06-26 13:02:20,日程,会议,审核供应商合作提案评审会,,,否,1,,,,否,,,
下周一全天roadmap规划路线图,`2025-06-26 13:23:32,日程,资料,roadmap规划路线图,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
下周三下午三点优化工作流程,`2025-06-26 13:26:26,日程,工作,优化工作流程,,,是,0,`2025-07-02 15:00:00,,,否,,,
本月29号制定营销,`2025-06-26 13:31:45,待办,工作,制定营销,,,否,0,,,,否,,,
明天下午三点财务风险防控分析会,`2025-06-26 14:21:13,日程,会议,财务风险防控分析会,,,是,0,`2025-06-27 15:00:00,,,否,,,
明天九点用户体验测试,`2025-06-26 14:40:53,日程,会议,用户体验测试,,,是,0,`2025-06-27 09:00:00,,,否,,,
本月30号房贷提前还清，提醒一下,`2025-06-26 14:50:05,待办,工作,房贷提前还清,,,否,1,,,,否,,,
下周五全天数据分析成果汇报会,`2025-06-26 15:50:28,日程,会议,数据分析成果汇报会,,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
下周三全天明星访谈,`2025-06-26 15:55:45,日程,会议,明星访谈,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
周三全天设备巡检,`2025-06-26 16:10:19,日程,工作,设备巡检,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
后天两点半设计评审,`2025-06-26 17:06:07,日程,会议,设计评审,,,是,0,`2025-06-28 14:30:00,,,否,,,
周日上午10点教堂礼拜,`2025-06-26 17:11:34,日程,宗教活动,教堂礼拜,教堂,,是,0,`2025-06-29 10:00:00,,,否,,,
本月30号研讨市场推广策略会,`2025-06-26 17:35:11,日程,会议,研讨市场推广策略会,,,否,1,,,,否,,,
