query_hist,current_time,生成结果
用户:周日晚上7点要去看演唱会; 你:周日晚上7点那会儿小张约了打球。演唱会要改个时间吗？; 用户:不用改; 你:什么时间提醒你？; 用户:提前15分钟提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""演出"",""content"":""去看演唱会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周日"",""start_time_chinese"":""晚上7点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-29 19:00:00"",""end_time"":"""",""remind_time"":""2025-06-29 18:45:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:下周一11点有个展会，帮我记一下; 你:下周一11点到12点已经安排了医院体检。展会要换个时间吗？; 用户:改到下周一11点。; 你:好的，大概要持续多久啊？; 用户:大概1小时吧。; 你:提前3小时叫你，成不？; 用户:ok,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""展会"",""content"":""展会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周一"",""start_time_chinese"":""11点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 11:00:00"",""end_time"":""2025-06-30 12:00:00"",""remind_time"":""2025-06-30 08:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:下周二下午3点有个展会，帮我记一下; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""展会"",""content"":""下周二下午3点有个展会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周二"",""start_time_chinese"":""下午3点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 15:00:00"",""end_time"":"""",""remind_time"":""2025-07-01 14:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:下周三晚上8点有个客户会议，帮我记一下; 你:下周三20点到21点时间段已经在健身了。这个会议要换个时间吗？; 用户:改到下周三20点。; 你:好的，这个会议大概要开多久啊？; 用户:大概2小时吧。; 你:提前15分钟提醒你可以吗？; 用户:好的,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""客户会议"",""place"":"""",""related_person"":""客户"",""start_date_chinese"":""下周三"",""start_time_chinese"":""20点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 20:00:00"",""end_time"":""2025-07-02 22:00:00"",""remind_time"":""2025-07-02 19:45:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:下周四中午12点有个体检要记录一下; 你:下周四12点到下午1点已经有健身课了。体检要换个时间吗？; 用户:改到下周四12点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""体检"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周四"",""start_time_chinese"":""中午12点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-03 12:00:00"",""end_time"":""2025-07-03 14:00:00"",""remind_time"":""2025-07-03 09:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:下周五晚上8点有个工作会议，记录一下; 你:下周五20点到21点已经有项目复盘会了。工作会议要换个时间吗？; 用户:改到下周五20点吧; 你:好的，需要持续多久啊？; 用户:大概2小时吧; 你:提前2小时叫你，可以吗？; 用户:ok,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""工作会议"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周五"",""start_time_chinese"":""20点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-04 20:00:00"",""end_time"":""2025-07-04 22:00:00"",""remind_time"":""2025-07-04 18:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:下周六下午4点有个客户会议，帮我记一下; 你:下周六下午4点到6点已经安排了健身计划。这个客户会议要改个时间吗？; 用户:改成下周六下午5点吧; 你:好的，会开多长时间啊？; 用户:大概2小时吧; 你:提前3小时提醒你可以吗？; 用户:行,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""客户会议"",""place"":"""",""related_person"":""客户"",""start_date_chinese"":""下周六"",""start_time_chinese"":""下午5点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-05 17:00:00"",""end_time"":""2025-07-05 19:00:00"",""remind_time"":""2025-07-05 14:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:下周日14点有个读书会; 你:好的，会持续多久啊？; 用户:大概3小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""读书"",""content"":""读书会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周日"",""start_time_chinese"":""14点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-06 14:00:00"",""end_time"":""2025-07-06 17:00:00"",""remind_time"":""2025-07-06 13:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:下周天15点想去看展会记录一下; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""展会"",""content"":""去看展会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周天"",""start_time_chinese"":""15点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-06 15:00:00"",""end_time"":""2025-07-06 16:00:00"",""remind_time"":""2025-07-06 14:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:今天下午1点要去看医生; 你:今天下午1点到2点已经安排购物了。看医生要换个时间吗？; 用户:不用换了。; 你:好嘞，提前1小时叫你，行不？; 用户:好的,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""看医生"",""place"":"""",""related_person"":"""",""start_date_chinese"":""今天"",""start_time_chinese"":""下午1点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-25 13:00:00"",""end_time"":""2025-06-25 14:00:00"",""remind_time"":""2025-06-25 12:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:明天晚上6点有个健身课，帮我记一下; 你:明天18点到19点已经有读书会了。健身课要换个时间吗？; 用户:改到明天18点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前1小时叫你，成不？; 用户:ok,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""运动"",""content"":""健身课"",""place"":"""",""related_person"":"""",""start_date_chinese"":""明天"",""start_time_chinese"":""18点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 18:00:00"",""end_time"":""2025-06-26 20:00:00"",""remind_time"":""2025-06-26 17:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:后天下午5点有个会议，帮我记一下; 你:后天5点到6点已经安排了健身课。会议要改个时间吗？; 用户:不改了，就按原计划; 你:好的，会议大概持续多久啊？; 用户:大概2小时吧; 你:提前1小时提醒你，可以吗？; 用户:没问题,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""会议"",""place"":"""",""related_person"":"""",""start_date_chinese"":""后天"",""start_time_chinese"":""下午5点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 17:00:00"",""end_time"":""2025-06-27 19:00:00"",""remind_time"":""2025-06-27 16:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:周一18点要去看牙医; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""要看牙医"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周一"",""start_time_chinese"":""18点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 18:00:00"",""end_time"":""2025-06-30 20:00:00"",""remind_time"":""2025-06-30 17:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:周二下午2点有个客户会议; 你:好的，什么时间提醒你？; 用户:提前3小时提醒我,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""有个客户会议"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周二"",""start_time_chinese"":""下午2点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 14:00:00"",""end_time"":"""",""remind_time"":""2025-07-01 11:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:周三11点有个展会，记录一下; 你:周三11点到12点已经有工作会议了。展会要换个时间吗？; 用户:改到周三11点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""展会"",""content"":""周三11点有展会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周三"",""start_time_chinese"":""11点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-25 11:00:00"",""end_time"":""2025-06-25 13:00:00"",""remind_time"":""2025-06-25 10:45:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:周四8点有个健身课，帮我记一下; 你:周四8点到9点已经有项目会议了。健身课要换个时间吗？; 用户:改到周四8点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前15分钟叫你，成不？; 用户:ok,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""运动"",""content"":""健身课"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周四"",""start_time_chinese"":""8点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 08:00:00"",""end_time"":""2025-06-26 09:00:00"",""remind_time"":""2025-06-26 07:45:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:周五下午1点要去看牙医; 你:周五下午1点到2点已经安排了健身课。看牙医要改个时间吗？; 用户:改到周五13点。; 你:什么时间提醒你？; 用户:提前3小时提醒我,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""看牙医"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周五"",""start_time_chinese"":""13点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 13:00:00"",""end_time"":""2025-06-27 14:00:00"",""remind_time"":""2025-06-27 10:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:周六11点有个工作会议，记录一下; 你:周六上午11点到中午12点已经有健身计划了。工作会议要换个时间吗？; 用户:改到周六11点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前1小时叫你，成不？; 用户:ok,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""工作会议"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周六"",""start_time_chinese"":""11点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 11:00:00"",""end_time"":""2025-06-28 12:00:00"",""remind_time"":""2025-06-28 10:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户: 周日16点有个读书会，帮我记一下; 你: 周日16点到17点已经有健身课了。读书会要换个时间吗？; 用户: 改到周日16点。; 你: 好的，会持续多久啊？; 用户: 大概2小时吧。; 你: 提前半小时叫你，成不？; 用户: ok,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""读书"",""content"":""读书会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周日"",""start_time_chinese"":""16点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-29 16:00:00"",""end_time"":""2025-06-29 18:00:00"",""remind_time"":""2025-06-29 15:30:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
"用户:周日中午12点有个读书会,记录一下; 你:周日中午12点到下午1点已经有健身课了。读书会要换个时间吗？; 用户:改到周天12点; 你:好的,会持续多久啊？; 用户:大概2小时吧; 你:提前半小时叫你,成不？; 用户:ok",2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""读书"",""content"":""读书会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周日"",""start_time_chinese"":""中午12点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-29 12:00:00"",""end_time"":""2025-06-29 14:00:00"",""remind_time"":""2025-06-29 11:30:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
"用户:下周一14点有个工作面试; 你:好的,会持续多久啊?; 用户:大概1小时吧; 你:什么时间提醒你?; 用户:提前1小时提醒我",2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""工作面试"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周一"",""start_time_chinese"":""14点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 14:00:00"",""end_time"":""2025-06-30 15:00:00"",""remind_time"":""2025-06-30 13:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:下周二9点有个部门会议要开; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""下周二9点有个部门会议要开"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周二"",""start_time_chinese"":""9点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 09:00:00"",""end_time"":""2025-07-01 10:00:00"",""remind_time"":""2025-07-01 08:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:下周三9点要去看牙医; 你:下周三9点到10点已经有健身课安排了。看牙医要换个时间吗？; 用户:改到下周三下午2点吧; 你:提前2小时叫你，可以吗？; 用户:好的,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""看牙医"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周三"",""start_time_chinese"":""下午2点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 14:00:00"",""end_time"":""2025-07-02 15:00:00"",""remind_time"":""2025-07-02 12:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:下周四17点有个读书会，帮我记一下; 你:下周四17点到18点已经有健身课了。读书会要换个时间吗？; 用户:改到下周四19点吧。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""读书"",""content"":""下周四19点有读书会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周四"",""start_time_chinese"":""19点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-03 19:00:00"",""end_time"":""2025-07-03 21:00:00"",""remind_time"":""2025-07-03 16:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
"用户:下周五3点要去看牙医,帮我记一下; 你:下周五3点到4点已经有健身课安排。看牙医要换个时间吗？; 用户:改到下周五15点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前1小时叫你，成不？; 用户:ok",2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""看牙医"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周五"",""start_time_chinese"":""15点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-04 15:00:00"",""end_time"":""2025-07-04 17:00:00"",""remind_time"":""2025-07-04 14:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:下周六10点有个健身安排，帮我记一下; 你:下周六10点到12点已经有就医预约了。健身要换个时间吗？; 用户:改到下周六10点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前2小时叫你，成不？; 用户:ok,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""运动"",""content"":""健身"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周六"",""start_time_chinese"":""10点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-05 10:00:00"",""end_time"":""2025-07-05 12:00:00"",""remind_time"":""2025-07-05 08:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:下周日晚上8点有个工作会议，记录一下; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""工作会议"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周日"",""start_time_chinese"":""晚上8点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-06 20:00:00"",""end_time"":""2025-07-06 22:00:00"",""remind_time"":""2025-07-06 19:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
用户:下周日13点有个客户会议，记一下; 你:下周日13点到14点已经安排了健身课程。客户会议要换个时间吗？; 用户:不用换，就这个时间; 你:好的，提前1小时提醒你成不？; 用户:可以,2025-06-25 01:33:19,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""客户会议"",""place"":"""",""related_person"":""客户"",""start_date_chinese"":""下周日"",""start_time_chinese"":""13点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-06 13:00:00"",""end_time"":""2025-07-06 14:00:00"",""remind_time"":""2025-07-06 12:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-25 01:33:19""}}"
