query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_right,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time,start_date_chinese,start_time_chinese,end_date_chinese,end_time_chinese,remind_date_chinese,remind_time_chinese
用户:下周一早上6点送父母旅游; 你:是周一早上六点提醒你吗？; 用户:对，就是周一早上六点提醒我。,`2025-06-25 23:05:28,待办,出行,送父母旅游,,父母,是,0,`2025-06-30 06:00:00,,`2025-06-30 06:00:00,否,,,,下周一,早上6点,,,下周一,早上6点
用户:明天下午3点新车保养; 你:明天下午三点提醒你？; 用户:是的，三点提醒,`2025-06-25 06:38:19,待办,健康,新车保养,,,是,0,`2025-06-26 15:00:00,,`2025-06-26 15:00:00,否,,,,明天,下午3点,,,明天,下午3点
用户:下周日全天搬家整理; 你:没问题，啥时候提醒你？; 用户:下周三中午十二点提醒,`2025-06-27 06:04:26,日程,家庭,搬家整理,,,是,0,`2025-07-06 08:00:00,`2025-07-06 20:00:00,`2025-07-02 12:00:00,否,,,,下周日,上午8点,下周日,晚上8点,下周三,中午12点
用户:周三上午10点重要客户演示; 你:没问题，啥时候提醒你？; 用户:能在周三上午9点45分提醒我吗？,`2025-06-30 15:02:25,日程,会议,重要客户演示,,,是,0,`2025-07-02 10:00:00,,`2025-07-02 09:45:00,否,,,,周三,上午10点,,,周三,上午9点45分
用户:下周二下午3点宠物洗澡; 你:是下周二下午3点提醒你吗？; 用户:是的，下午三点提醒我。,`2025-06-29 20:04:04,待办,宠物护理,宠物洗澡,,,是,0,`2025-07-01 15:00:00,,`2025-07-01 15:00:00,否,,,,下周二,下午3点,,,下周二,下午3点
用户:记一下周五晚上8点剧本杀; 你:周五晚上8点提醒你？; 用户:改成周六下午3点提醒,`2025-06-30 12:44:54,日程,娱乐,剧本杀,,,是,0,`2025-07-05 15:00:00,,`2025-07-05 15:00:00,否,,,,周六,下午3点,,,周六,下午3点
用户:下个月8号缴纳车险; 你:好嘞，啥时候提醒你？; 用户:下午三点吧,`2025-06-24 01:55:50,待办,健康,缴纳车险,,,是,0,`2025-07-08 15:00:00,,`2025-07-08 15:00:00,否,,,,下个月8号,下午3点,,,下个月8号,下午3点
用户:周六全天家具安装; 你:周六上午9点到晚上8点，还有带孩子看病，可能比较赶，家具安装要换个时间吗？; 用户:好的，那把家具安装改到周日下午1点吧。; 你:收到，啥时候提醒你？; 用户:提前1小时提醒我,`2025-06-27 15:36:21,日程,家具安装,家具安装,,,是,0,`2025-06-29 12:00:00,`2025-06-29 20:00:00,`2025-06-29 11:00:00,否,,,,周日,下午12点,周日,晚上8点,周日,上午11点
用户:明天下午4点眼镜验光; 你:明下午四点提醒你？; 用户:好的  ,`2025-06-30 20:47:20,待办,健康,眼镜验光,,,是,0,`2025-07-01 16:00:00,,`2025-07-01 16:00:00,否,,,,明天,下午4点,,,明天,下午4点
用户:下周四晚上7点相亲; 你:周四晚上7点半到晚上9点半已经有家长会了。相亲要换个时间吗？; 用户:家长会几点结束？我看看能不能调整一下相亲的时间。  ; 你:没问题，会持续多长时间？在哪儿相亲？; 用户:相亲大概会持续两个小时左右，在咖啡馆见,`2025-06-30 20:47:45,日程,约见,相亲,咖啡馆,,是,0,`2025-07-10 19:00:00,`2025-07-10 21:00:00,,否,,,,下周四,晚上7点,下周四,晚上9点,,
用户:周日早上9点带猫绝育; 你:周日上午九点提醒你？; 用户:好的  ,`2025-06-30 20:48:02,待办,就医,带猫绝育,,,是,0,`2025-07-06 09:00:00,,`2025-07-06 09:00:00,否,,,,周日,早上9点,,,周日,早上9点
用户:下周五下午2点新车贴膜; 你:下午两点提醒你吗？; 用户:改成下周五下午三点提醒吧。  ,`2025-06-30 20:48:20,待办,健康,新车贴膜,,,是,0,`2025-07-11 15:00:00,,`2025-07-11 15:00:00,否,,,,下周五,下午3点,,,下周五,下午3点
用户:明天中午12点前同事聚会; 你:好呀，多久啊？在哪儿聚？; 用户:还是老地方公司会议室。  ; 你:好嘞，啥时候提醒你？; 用户:改成明天上午11点半提醒,`2025-06-30 20:48:50,日程,应酬,同事聚会,公司会议室,同事,是,0,`2025-07-01 12:00:00,,`2025-07-01 11:30:00,否,,,,明天,中午12点,,,明天,上午11点半
用户:下周日下午3点亲子烘焙; 你:周日上午8点到晚上8点已经有搬家整理了。亲子烘焙要换个时间吗？; 用户:亲子烘焙还是维持原计划下周日下午3点，搬家整理时间再调整一下。  ; 你:收到，啥时候提醒你？; 用户:下周三早上9点提醒,`2025-06-30 20:49:16,日程,亲子活动,亲子烘焙,,,是,0,`2025-07-13 15:00:00,`2025-07-13 16:00:00,`2025-07-09 09:00:00,否,,,,下周日,下午3点,下周日,,下周三,早上9点
用户:周三全天设备调试; 你:周三下午两点到晚上8点，还有客户提案，可能比较赶，设备调试要换个时间吗？; 用户:客户提案时间能不能提前到上午？这样下午还能安排设备调试。; 你:没问题，啥时候提醒你？; 用户:不用提醒了，我自己安排。,`2025-06-30 20:49:46,日程,工作,设备调试,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,,周三,上午,周三,晚上8点,,
用户:下个月15号缴纳车位费; 你:好嘞，啥时候提醒你？; 用户:下个月15号晚上7点提醒我,`2025-06-30 20:50:03,待办,停车位,缴纳车位费,,,是,0,`2025-07-15 19:00:00,,`2025-07-15 19:00:00,否,,,,下个月15号,晚上7点,,,下个月15号,晚上7点
用户:周五晚上6点公司年会; 你:下午6点已经被部门聚餐占了。公司年会需要改个时间吗？; 用户:我觉得可以把年会改在周六上午10点，这样大家都能参加。; 你:好的，会持续多长时间？在哪儿开会？; 用户:好的,`2025-06-30 20:50:29,日程,会议,公司年会,,,是,0,`2025-07-05 10:00:00,`2025-07-05 10:00:00,,否,,,,周六,上午10点,周六,上午10点,,
用户:下周三上午10点签证取件; 你:周三上午十点提醒你？; 用户:好的，就定在周三上午十点提醒我吧。  ,`2025-06-30 20:50:45,待办,其他,签证取件,,,是,0,`2025-07-09 10:00:00,,`2025-07-09 10:00:00,否,,,,下周三,上午10点,,,下周三,上午10点
用户:明天下午1点试驾新车; 你:明天下午一点提醒你？; 用户:好的，设置明天下午一点的提醒。,`2025-06-30 20:47:29,待办,出行,试驾新车,,,是,0,`2025-07-01 13:00:00,,`2025-07-01 13:00:00,否,,,,明天,下午1点,,,明天,下午1点
用户:下周日全天家庭大扫除; 你:周日上午八点提醒你吗？; 用户:好的，就定在周日上午八点提醒我。  ,`2025-06-30 20:47:48,待办,家庭,家庭大扫除,,,是,0,`2025-07-13 08:00:00,`2025-07-13 20:00:00,`2025-07-13 08:00:00,否,,,,下周日,上午8点,下周日,晚上8点,下周日,上午8点
用户:周四晚上7点私教课; 你:周四晚上七点提醒你？; 用户:提前半小时提醒,`2025-06-30 20:48:05,日程,运动,私教课,,,是,0,`2025-07-03 19:00:00,`2025-07-03 20:00:00,`2025-07-03 18:30:00,否,,,,周四,晚上7点,周四,,周四,晚上6点30分
用户:下周五全天行业展会; 你:下午5点还有和老李一起吃早点，可能比较赶，行业展会需要改个时间吗？; 用户:我看看有没有其他时间段可以调整。; 你:OK，啥时候提醒你？; 用户:不用提醒了，改成下周四上午。,`2025-06-30 20:48:30,日程,展会,行业展会,,,是,0,`2025-07-10 08:00:00,`2025-07-10 20:00:00,,否,,,,下周四,上午,下周四,,,
用户:周六早上6点赶高铁; 你:提前3小时提醒你？; 用户:好的,`2025-06-30 20:48:46,日程,出行,赶高铁,,,是,0,`2025-07-05 06:00:00,,`2025-07-05 03:00:00,否,,,,周六,早上6点,,,周六,早上3点
用户:下周三下午2点客户提案; 你:没问题，提前多久提醒你？; 用户:不设置提醒,`2025-06-30 20:49:05,日程,会议,客户提案,,客户,是,0,`2025-07-09 14:00:00,,,否,,,,下周三,下午2点,,,,
用户:明天中午12点离职交接; 你:明天中午12点提醒你？; 用户:好的，就定在明天中午12点提醒我。  ,`2025-06-30 20:49:22,待办,工作,离职交接,,,是,0,`2025-07-01 12:00:00,,`2025-07-01 12:00:00,否,,,,明天,中午12点,,,明天,中午12点
用户:下周六家具收货; 你:什么时间提醒你？; 用户:上午八点准时提醒我收货家具。,`2025-06-30 20:49:40,待办,购物,收货家具,,,是,0,`2025-07-12 08:00:00,,`2025-07-12 08:00:00,否,,,,下周六,上午8点,,,下周六,上午8点
用户:周四早上7点晨练; 你:是周四早上七点提醒你？; 用户:不，改成周五早上七点提醒。  ,`2025-06-30 20:49:59,待办,运动,晨练,,,是,0,`2025-07-04 07:00:00,,`2025-07-04 07:00:00,否,,,,周五,早上7点,,,周五,早上7点
用户:下周一全天在家办公; 你:周一上午8点到晚上8点已经有封闭会议了。在家办公要换个时间吗？; 用户:不用换时间，我可以在会议间隙处理工作。  ; 你:好的，啥时候提醒你？; 用户:上午8点提醒我开始在家办公,`2025-06-30 20:50:29,日程,工作,在家办公,,,是,0,`2025-07-07 08:00:00,`2025-07-07 20:00:00,`2025-07-07 08:00:00,否,,,,下周一,上午8点,下周一,晚上8点,下周一,上午8点
用户:明天早上7点送孩子考级; 你:明早七点提醒你？; 用户:改成七点半提醒  ,`2025-06-30 20:47:19,待办,家庭,送孩子考级,,孩子,是,0,`2025-07-01 07:30:00,,`2025-07-01 07:30:00,否,,,,明天,早上7点30分,,,明天,早上7点30分
用户:周六全天家具选购; 你:周六上午9点到晚上8点，还有带孩子看病，可能比较赶，家具选购要换个时间吗？; 用户:那把家具选购改到周日吧，周日全天都方便。; 你:周日上午8点到晚上8点已经有搬家整理了。家具选购要换个时间吗？; 用户:不用; 你:好嘞，提前多久提醒你？; 用户:不用提醒,`2025-06-30 20:47:45,日程,购物,家具选购,,,是,0,`2025-07-06 08:00:00,`2025-07-06 20:00:00,,否,,,,周日,全天,周日,全天,,
用户:周四下午4点提醒我去美睫预约; 你:收到嘞，啥时候提醒你啊？; 用户:下午3点50提醒我  ,`2025-06-30 20:48:01,待办,约见,去美睫预约,,,是,0,`2025-07-03 16:00:00,,`2025-07-03 15:50:00,否,,,,周四,下午4点,,,周四,下午3点50
用户:下周一全天封闭会议; 你:好嘞，在哪儿开会呀？; 用户:公司大会议室; 你:行，提前15分钟提醒你啊？; 用户:好的，没问题。,`2025-06-30 20:48:28,日程,会议,封闭会议,公司大会议室,,是,0,`2025-07-07 08:00:00,`2025-07-07 20:00:00,`2025-07-07 07:45:00,否,,,,下周一,全天,下周一,20点,下周一,早上7点45分
用户:周日早上8点骑行活动; 你:周日上午8点到晚上8点已经有搬家整理了。骑行活动要换个时间吗？; 用户:搬家整理能不能提前一点结束？我真的很想参加这个骑行活动。  ; 你:好的，提前3小时叫你，行吗？; 用户:行，那就提前3小时叫我。; 你:开始时间已经过去了，重说一下呗; 用户:周日上午8点开始的搬家整理我提前3小时叫你，这样你可以参加骑行活动。,`2025-06-30 20:48:54,待办,运动,参加骑行活动,,,是,0,`2025-07-06 08:00:00,,`2025-07-06 05:00:00,否,,,,周日,上午8点,,,周日,早上5点
用户:下周四中午12点投资人午餐; 你:收到咧，要持续多久啊？投资人午餐在哪儿呀？; 用户:这次午餐安排了2个小时，结束后我们会去附近的会议室讨论细节。  ; 你:好嘞，啥时候提醒你？; 用户:下周四中午12点提醒我，提前15分钟发个通知吧。  ,`2025-06-30 20:49:24,日程,应酬,投资人午餐，结束后去附近的会议室讨论细节,附近的会议室,投资人,是,0,`2025-07-10 12:00:00,`2025-07-10 14:00:00,`2025-07-10 11:45:00,否,,,,下周四,中午12点,下周四,下午2点,下周四,中午12点前15分钟
用户:明天晚上9点直播答疑; 你:收到，啥时候提醒你？; 用户:今晚10点提醒我。  ,`2025-06-30 20:49:43,待办,,直播答疑,,,是,0,`2025-07-01 21:00:00,,`2025-06-30 22:00:00,否,,,,明天,晚上9点,,,今晚,10点
用户:下周六全天婚礼彩排; 你:周六上午9点到晚上8点，还有带孩子看病，可能比较赶，婚礼彩排要换个时间吗？; 用户:不用。; 你:好的，提前多久提醒你？; 用户:15分钟,`2025-06-30 20:50:11,日程,约见,婚礼彩排,,,是,0,`2025-07-12 08:00:00,`2025-07-12 20:00:00,`2025-07-12 07:45:00,否,,,,下周六,上午8点,下周六,晚上8点,下周六,下午7点45分
用户:周三下午3点心理咨询; 你:周三上午8点到晚上8点已经有设备调试了。心理咨询要换个时间吗？; 用户:周三下午3点心理咨询。; 你:收到，啥时候提醒你？; 用户:提前一小时提醒。  ,`2025-06-30 20:50:38,日程,就医,心理咨询,,,是,0,`2025-07-02 15:00:00,`2025-07-02 16:00:00,`2025-07-02 14:00:00,否,,,,周三,下午3点,周三,下午4点,周三,下午2点
用户:下周一早上8点开学典礼; 你:下周一上午8点到上午9点，有2个日程，开学典礼要换个时间吗？; 用户:不用换时间，开学典礼就定在下周一上午8点吧。; 你:OK，啥时候提醒你？; 用户:开始前半小时提醒我。,`2025-06-30 20:51:06,日程,会议,开学典礼,,,是,0,`2025-07-07 08:00:00,,`2025-07-07 07:30:00,否,,,,下周一,上午8点,,,下周一,开始前半小时
用户:明天晚上9点直播答疑; 你:晚上9点已经被直播交流高级粉丝占了。直播答疑需要改个时间吗？; 用户:那把直播答疑改到明天晚上8点吧。; 你:明天晚上8点到晚上9点，有2个日程，直播答疑要换个时间吗？; 用户:把直播答疑改到后天晚上8点吧。; 你:没问题，持续多久啊？在哪儿开呀？; 用户:1小时，在腾讯会议开。,`2025-06-30 22:21:52,日程,会议,直播答疑,腾讯会议,,是,0,`2025-07-02 20:00:00,`2025-07-02 21:00:00,,否,,,,后天,晚上8点,后天,晚上9点,,
用户:下周六全天婚礼彩排; 你:周六上午9点到晚上8点，还有带孩子看病，可能比较赶，婚礼彩排要换个时间吗？; 用户:要不把婚礼彩排改到周日吧，那天我上午有空。  ; 你:周日下午3点到晚上8点，还有亲子烘焙，可能比较赶，婚礼彩排要换个时间吗？; 用户:婚礼彩排安排在周日下午1点开始，避开亲子烘焙的时间。  ; 你:收到，会持续多长时间？在哪儿婚礼彩排？; 用户:预计持续4个小时，婚礼彩排地点在朝阳区建国路87号喜来登酒店。,`2025-06-30 22:22:18,日程,约见,婚礼彩排,朝阳区建国路87号喜来登酒店,,是,0,`2025-07-06 13:00:00,`2025-07-06 17:00:00,,否,,,,周日,下午1点,周日,下午5点,,
用户:周日早上9点带猫绝育; 你:周日上午九点提醒你？; 用户:改成10点吧  ,`2025-06-30 22:20:26,待办,健康,带猫绝育,,,是,0,`2025-07-06 10:00:00,,`2025-07-06 10:00:00,否,,,,周日,上午10点,,,周日,上午10点
用户:周五晚上6点公司年会; 你:周五下午6点到晚上7点，有2个日程，公司年会要换个时间吗？; 用户:不用换时间，年会可以按时进行。  ; 你:OK，提前多久提醒你？; 用户:30分钟,`2025-06-30 22:22:53,日程,应酬,公司年会,,,是,0,`2025-07-04 18:00:00,,`2025-07-04 17:30:00,否,,,,周五,晚上6点,,,周五,下午5点30分
用户:明天晚上8点线上培训; 你:晚上8点已经被线上培训占了。线上培训需要改个时间吗？; 用户:这个时间没问题，不需要调整。; 你:OK，啥时候提醒你？; 用户:明天晚上7点提醒我。  ,`2025-06-30 22:19:45,日程,学习,线上培训,,,是,0,`2025-07-01 20:00:00,`2025-07-01 20:00:00,`2025-07-01 19:00:00,否,,,,明天,晚上8点,明天,,明天,晚上7点
用户:下周日全天搬家准备; 你:下周日上午八点提醒你？; 用户:取消这个提醒，我改期了。; 你:好嘞，啥时候开始？; 用户:我改成下周六上午九点开始搬家准备。; 你:下周六上午9点到晚上8点，有4个日程，搬家准备要换个时间吗？; 用户:不换了，就这段时间吧。,`2025-06-30 22:20:11,日程,生活,搬家准备,,,是,0,`2025-07-12 09:00:00,`2025-07-12 20:00:00,,否,,,,下周六,上午9点,下周六,晚上8点,,
用户:周三下午5点接孩子; 你:周三下午五点提醒你？; 用户:好的  ,`2025-06-30 22:20:25,待办,家庭,接孩子,,孩子,是,0,`2025-07-02 17:00:00,,`2025-07-02 17:00:00,否,,,,周三,下午5点,,,周三,下午5点
用户:下周五晚上6点部门聚餐; 你:下午6点已经被部门聚餐占了。部门聚餐需要改个时间吗？; 用户:要不改成下周五晚上7点吧，这样大家下班后能更放松地参加。  ; 你:好嘞，啥时候提醒你？; 用户:下周五晚上7点提醒我  ; 你:好的，能说说持续多长时间吗？; 用户:大概持续2小时左右。  ,`2025-06-30 22:20:54,日程,应酬,部门聚餐,,,是,0,`2025-07-11 19:00:00,`2025-07-11 21:00:00,`2025-07-11 19:00:00,否,,,,下周五,晚上7点,下周五,晚上9点,下周五,晚上7点
用户:周六早上8点社区服务; 你:周六上午八点提醒你？; 用户:好的  ,`2025-06-30 22:21:12,日程,服务,社区服务,,,是,0,`2025-07-05 08:00:00,,`2025-07-05 08:00:00,否,,,,周六,早上8点,,,周六,早上8点
用户:下周三全天市场调研; 你:下周三下午3点到晚上8点，还有心理咨询，可能比较赶，市场调研要换个时间吗？; 用户:好的，那把市场调研改到下周四吧。; 你:好的，提前一天晚上8点提醒你，好吗？; 用户:好的，那就提前一天晚上8点提醒我吧。,`2025-06-30 22:21:39,日程,工作,市场调研,,,是,0,`2025-07-10 08:00:00,`2025-07-10 20:00:00,`2025-07-09 20:00:00,否,,,,下周四,上午8点,下周四,晚上8点,下周三,晚上8点
用户:明天中午11点美容护理; 你:明早11点提醒你哈？; 用户:好的，没问题。  ,`2025-06-30 22:21:56,待办,健康,美容护理,,,是,0,`2025-07-01 11:00:00,,`2025-07-01 11:00:00,否,,,,明天,中午11点,,,明天,中午11点
用户:下周六全天带孩子复查; 你:下周六上午9点到晚上8点，还有带孩子学习，可能比较赶，带孩子复查要换个时间吗？; 用户:我觉得没问题，就按原计划来。; 你:OK，提前一天晚上8点提醒你成吗？; 用户:好的，没问题。  ,`2025-06-30 22:22:21,日程,就医,带孩子复查,,孩子,是,0,`2025-07-12 08:00:00,`2025-07-12 20:00:00,`2025-07-11 20:00:00,否,,,,下周六,全天,下周六,20点,提前一天,晚上8点
用户:周四晚上7点家长会; 你:周四晚上7点半到晚上9点半已经有家长会了。家长会要换个时间吗？; 用户:家长会可以改到周五晚上7点吗？  ; 你:周五上午8点到晚上8点已经有行业展会了。家长会要换个时间吗？; 用户:周五晚上7点吧; 你:收到，会持续多长时间？在哪儿开会？; 用户:1小时，学校会议室,`2025-06-30 22:22:45,日程,会议,家长会,学校会议室,,是,0,`2025-07-04 19:00:00,`2025-07-04 20:00:00,,否,,,,周五,晚上7点,周五,晚上8点,,
用户:下周一早上6点送机; 你:什么时间提醒你？; 用户:早上六点提醒我。  ,`2025-06-30 22:23:02,日程,出行,送机,,,是,0,`2025-07-07 06:00:00,,`2025-07-07 06:00:00,否,,,,下周一,早上6点,,,下周一,早上6点
用户:明天下午3点车辆年检; 你:明下午三点提醒你？; 用户:改成明天下午2点提醒吧  ,`2025-06-30 22:36:01,待办,健康,车辆年检,,,是,0,`2025-07-01 14:00:00,,`2025-07-01 14:00:00,否,,,,明天,下午2点,,,明天,下午2点
用户:周日全天整理衣橱; 你:周日上午八点提醒你？; 用户:改成7点吧  ,`2025-06-30 22:36:18,日程,整理,整理衣橱,,,是,0,`2025-07-06 07:00:00,`2025-07-06 20:00:00,`2025-07-06 07:00:00,否,,,,周日,早上7点,周日,晚上8点,周日,早上7点
用户:周三上午10点重要汇报; 你:周三上午10点到上午11点，有2个日程，重要汇报要换个时间吗？; 用户:这个时间段先空出来，我再想想怎么安排  ; 你:收到，提前多久提醒你？; 用户:30分钟,`2025-06-30 22:36:45,日程,会议,重要汇报,,,是,0,`2025-07-02 10:00:00,,`2025-07-02 09:30:00,否,,,,周三,上午10点,,,周三,上午9点30分
